Carrier,HSCode,dist
445,93,1.3540357308728355
336,65,1.340818638248103
590,93,1.3350915059979473
158,72,1.410169624590448
445,88,1.354742696242673
368,88,1.3207364763532365
492,63,1.3168636017612048
22,54,1.3420960030385427
107,93,1.3610546354736601
187,93,1.3355260065623693
395,90,1.3495071934802192
61,88,1.3237295470067434
253,42,1.3771730735898018
59,58,1.355264540229525
399,88,1.302655286022595
280,88,1.3429584694760186
520,81,1.2696372057710374
304,63,1.3686774947813578
542,88,1.374264093382018
322,88,1.3687394325222288
78,39,1.3105041405984335
107,62,1.3791208118200302
425,88,1.256022162203278
109,48,1.4071731931929077
359,93,1.30960779104914
393,93,1.3270350162472044
373,65,1.3382429799863271
322,93,1.370871799332755
536,32,1.2920102987970625
345,88,1.3269347229174204
109,54,1.3641377091407776
517,52,1.2775421227727617
304,92,1.341977593089853
172,76,1.4103016930499248
304,90,1.3527189599616187
336,0,1.4184889202671391
455,15,1.3743780170168196
304,88,1.3380917885473795
116,40,1.3505767903157644
245,65,1.3390345552137919
373,88,1.3285483441182546
331,92,1.3471921469484056
359,42,1.3405354374221392
236,96,1.3212751831327165
336,39,1.3501611043299948
245,33,1.3580439873039722
473,10,1.3163928804653031
590,94,1.351669651057039
336,50,1.352540624993188
64,1,1.2996802681258746
336,10,1.3401045724749565
336,94,1.3446953807558333
245,93,1.3244386783667974
172,89,1.3539779633283615
245,92,1.3306708335876465
336,23,1.3842933028936386
244,93,1.3260390545640672
236,93,1.3070030680724554
116,62,1.3520981222391129
336,92,1.3311555641038078
116,44,1.346406830208642
172,38,1.3874246233275958
280,92,1.3466858970267432
172,85,1.4121762604585715
244,92,1.3313730614525932
172,10,1.3564701889242445
172,92,1.3436074150460107
28,26,1.3543499452727181
172,44,1.3563900398356574
172,15,1.3943334466644697
336,45,1.3505170600754874
594,93,1.2961981786148888
584,10,1.3514369470732552
331,93,1.341752827167511
116,89,1.3443974320377623
245,96,1.3460746662957328
236,94,1.3224404198782784
336,96,1.3477597907185555
336,33,1.3582286201417446
590,10,1.348809724939721
304,65,1.3481073219861304
359,63,1.343471857053893
116,92,1.3297053532941001
430,50,1.322893351316452
280,93,1.3428437113761902
121,88,1.3161456733942032
116,39,1.3456633761525154
245,88,1.3288248500653677
331,33,1.376724334699767
594,88,1.2985450540270125
373,44,1.3425636099917548
373,10,1.3412408850022726
336,15,1.3820367359689303
116,94,1.3440506287983485
172,39,1.3642161190509796
236,92,1.3130571671894617
331,89,1.3581632247992925
61,93,1.324084969503539
409,50,1.314382950110095
105,93,1.3356131719691413
22,92,1.3253741604941232
130,93,1.3350742885044642
120,96,1.377676313476903
464,93,1.3552288870726312
40,88,1.338023841381073
542,93,1.3718310275248118
445,92,1.357388629445008
26,93,1.3057310421551978
136,93,1.3665552181856973
233,93,1.3563666929091727
395,93,1.3364905225379127
4,91,1.313349968620709
456,92,1.3430338587079729
253,61,1.3740065289395196
296,93,1.3303178660571575
187,72,1.429719121328422
208,54,1.3528576434722968
368,92,1.324581497481891
497,54,1.354186277304377
578,88,1.3417372490678514
469,93,1.3360248122896468
483,93,1.3039735470499312
253,92,1.347811417920249
412,88,1.3359848771776472
247,44,1.3690144366451673
399,91,1.3011408065046584
477,93,1.35329036627497
413,93,1.3389833675963538
48,26,1.3120015854282039
438,88,1.3001461209995406
253,93,1.3426126135247094
109,91,1.3517184747116906
586,54,1.3120997420379095
40,92,1.343792004244668
594,50,1.3253605855362756
367,23,1.28287936547505
247,92,1.3545328229665756
61,92,1.327987653868539
40,93,1.343500750405448
142,89,1.3074418125408036
77,10,1.3847274727055006
505,93,1.356974066368171
511,92,1.3287977299519949
404,93,1.3491800004350287
158,92,1.3437739142349787
512,88,1.3476971462368965
447,92,1.334211521915027
247,32,1.3801752544407333
22,31,1.3867501957075936
452,38,1.288531375250646
454,10,1.3235720353467124
77,38,1.4164814209299428
321,93,1.3576829571809088
473,40,1.3293100680623735
245,10,1.3392023486750466
368,42,1.3541459143161774
121,10,1.3336843018020903
336,46,1.4066508878022432
499,92,1.3806910615946566
410,79,1.3269270264676638
