ConsigneePanjivaID,PortOfUnlading,dist
5782,2,1.117498162335583
4288,2,1.17799882750426
2305,44,0.9760540540197066
4288,44,1.138894526021821
3958,21,1.3693671162639345
5697,31,1.0911208455051695
5453,46,1.221618558147124
3517,62,1.1832259435738837
3098,63,1.1253924784915788
1317,46,1.091518325198974
2600,8,1.2076428617749895
3508,50,0.98829280944275
3081,53,0.8792441146714347
1475,44,1.1521481509719576
5782,63,1.091090989748149
4496,51,1.0942489397046822
5799,17,1.2765800112060137
2261,6,1.1875602536435639
3199,53,1.0064716557306903
95,63,1.050087934359908
3093,17,1.2044193938906704
4235,51,1.0726038133060294
1445,63,1.279094600783927
5799,44,1.2627263484256608
4288,17,1.1455195282718964
4883,63,1.018967414806996
5146,56,1.2158270105719566
2042,6,1.3164952703352486
4966,63,1.0626717342862062
1398,46,1.0787510991628682
582,63,1.1375885283840554
1173,31,0.8656069416818875
2225,62,1.223414524857487
4183,17,1.021820985845157
426,51,1.015637797968728
2225,10,1.1906286350318365
5783,50,1.0717833686087812
1480,45,1.1121710751737868
5531,17,0.9937468874933464
4943,17,1.0217270370838898
2012,0,1.197409313172102
1157,46,1.1674318744002707
4288,34,1.1785695560808693
2858,50,0.9308223873376846
1770,17,1.0356931665113993
809,63,1.1736491117293812
1289,51,1.1500271138335978
4737,46,1.1323487287653344
3101,6,1.0971471132444484
5782,8,1.1014575501571275
3401,63,0.8936222266139728
4808,6,1.145765762243952
5453,44,1.2058698431189572
1523,8,0.9645849570765027
1475,63,1.150219892816884
4292,6,0.9223248426403318
5608,63,1.0183771981724672
5782,62,1.1192047694431884
4792,44,1.1029185852301973
1535,8,1.0991122209067856
4288,10,1.160226313131196
5139,45,1.1777324730397336
3538,63,1.0283264468557067
5065,51,1.09724134100335
1587,62,1.0445259133619922
3113,44,1.1302042582870595
3825,34,0.9633521506828921
5341,44,0.9590384109344866
3517,17,1.166906401515007
1681,17,1.1817272997328214
2304,17,1.110007820384843
3050,63,0.958524610481358
2082,46,1.0964796479259218
3114,16,1.150742986372539
2936,31,0.8795604101781335
926,6,0.9276119069628683
2082,63,1.0934018712224705
2689,44,1.1236735342868738
3099,44,1.1919968955750977
1395,29,1.0966907159558363
5301,6,1.1601505439196313
3548,53,1.063674016722611
2085,6,1.1654970073806388
317,44,1.1884905988616603
4282,51,1.0282938107848167
1086,51,1.2066274189523287
931,17,0.9226554137255464
1861,51,1.2101719783885139
1780,17,1.1746635458299093
3451,29,1.082900766815458
1695,62,1.1061634857739722
2329,65,0.9950044683979026
5583,10,1.0453586147299834
2861,50,1.0567454315189804
145,56,1.0259551042690873
113,63,1.1050858428435666
1245,16,1.1495561844536237
398,16,1.063054230596338
4697,63,0.9880111189559102
1168,6,1.0105453144226755
1456,53,0.8449014982408178
2172,8,1.0442937341119563
4316,16,1.0982963566535286
1999,17,1.121719510427543
1252,63,1.0998057387769222
1628,34,1.0259920378448442
5046,44,1.111123163253069
1810,34,1.177014428057841
2809,31,1.1343842180711883
260,2,1.1677656212289418
4551,62,1.1648175517496253
2820,10,1.2555870078504086
3376,50,1.0505617167800665
482,50,1.0720178550774497
4602,17,0.8650644394968238
4509,62,1.0614809554868512
3151,17,1.0330128031117576
512,17,1.1208442385707582
5063,63,1.134857817952122
2676,63,1.1714095523181771
2609,63,0.9080322294362954
5492,8,1.1577724974070276
3125,44,1.0188386690403735
3458,46,1.2500012217621719
368,6,1.0009866143975938
3885,51,1.1446872116731746
5460,44,1.0340917355247907
2706,50,1.175515546596476
3126,10,1.1500196217426233
129,31,0.9974047014755862
423,63,0.9705625713603305
2242,8,1.0567299925855227
4827,29,0.9984724917199596
1245,17,1.1510578473763806
1381,44,1.1204715705742794
926,8,0.9157806765953345
5447,8,1.0158536191364484
355,6,1.2043107194559914
2821,8,1.1560122942818063
5177,8,1.206785749644041
3459,31,1.113059171342424
1851,63,1.1057037458355938
360,53,0.9555103528712477
1582,53,1.0026716369071178
4462,17,1.058305187084313
5177,2,1.234468502657754
5447,10,0.9905627391168049
3724,17,0.9000985156744719
3956,17,1.0860467819230897
3669,44,1.1689545246107238
1836,46,1.036141258265291
5429,13,1.0420898353414876
1164,20,1.028029888868332
4233,51,1.1418298791561807
3691,19,1.009366541568722
551,53,1.1178629941173963
1552,63,1.0848152710625851
2179,53,1.1174682612930025
2538,50,0.8754242440419537
5243,53,0.9586090461484024
1681,62,1.1952617008771216
2231,63,0.9070947053426478
5023,46,1.0869496235266394
2115,44,0.8007551804184914
5563,53,0.8200610514198031
4013,0,0.9878408525671277
2679,34,0.9505842913474355
3068,51,0.9950960511341691
355,63,1.189598765107803
2135,51,1.187885588833264
3411,46,1.0282198965017284
2106,46,1.2887896746397018
