PortOfUnlading,ShipmentDestination,dist
50,4,1.0435501017740794
17,82,1.0617451891303062
23,18,0.9471199597631182
51,58,1.040604507284505
16,111,1.023764475115708
62,97,1.067886168403285
63,98,1.03706067694085
16,18,1.0329880299312728
44,114,1.0332161486148834
63,59,1.0461822258574622
16,104,1.0754745517458235
63,53,1.024963531110968
62,17,1.0559099550758089
44,120,1.0315941135798181
51,2,1.0237269050308637
63,18,1.030676695917334
16,25,1.078125465129103
27,48,0.9275056655917849
16,65,1.0698220623391015
63,25,1.0714154828872
16,10,1.0208499048437392
16,52,1.0321452830518996
16,86,1.0192536509462766
16,58,1.041981391608715
16,60,1.0479982729469026
46,23,1.0542042319263731
33,61,0.9267174902239016
44,13,1.0314190632530622
62,58,1.0346792787313461
44,28,1.0375641233154707
63,69,1.020541315632207
63,114,1.0303520017436572
63,50,1.038215585052967
8,114,1.0158999381320817
16,24,1.0367314432348524
22,43,0.9416793446455684
48,85,1.069682888686657
53,103,1.0414732385958945
16,28,1.0368570419294494
46,113,1.0607131591864996
44,59,1.0527214748518807
59,36,1.1002646588853426
16,12,1.0792462300243122
46,12,1.0777253008314542
51,14,1.0534166395664215
61,113,1.0779915281704493
16,113,1.0573295035532542
50,78,1.0518240215522903
8,19,1.0066968383533614
16,70,1.0740766333682197
62,16,1.0170447826385498
44,119,1.0320734796779496
16,94,1.0294477215835027
50,62,1.0237888055188316
64,117,0.9709933990878719
20,102,0.985061625284808
31,115,1.0755917068038667
20,11,1.0531930029392242
31,63,1.0311708748340607
16,83,1.0656622446009092
44,116,1.050641994391169
46,39,1.0497343561479024
44,31,1.0199156062943595
8,81,1.042168887598174
16,108,1.027972508754049
44,32,1.0405665678637368
16,88,1.0631067529320717
44,92,1.0603649499160903
16,89,1.068390630185604
38,74,0.9239831987236228
16,96,1.0340233881558691
16,17,1.0586247007761682
62,82,1.0600744624223029
53,88,1.0558768989784377
16,64,1.025538639298507
44,71,1.0099470115133695
44,36,1.052543159042086
8,54,1.0412947088479996
55,94,0.9390396497079304
44,91,1.028325114931379
16,97,1.0728862487844057
44,85,1.0671740919351578
18,37,0.9362799051616874
44,89,1.067204091165747
11,26,0.9249967887465443
44,4,1.0464951481137956
16,9,1.0677200726100378
53,97,1.0657986615385329
3,9,1.0899551925914628
53,67,1.013172218842166
6,14,1.0469650381377764
63,120,1.0283616653510503
44,53,1.0277385605233056
17,59,1.047371813229152
63,81,1.0472145399877004
63,56,1.022457913096462
44,63,1.0350008543048586
53,12,1.0692375861108303
14,33,0.9271427588537335
20,118,0.9991993850895337
44,83,1.0650437931929315
12,30,0.9281520073169044
50,101,1.0182119895304953
42,79,0.9377139285206795
45,23,1.0700313172170095
63,83,1.0593842736312322
16,112,1.0637962509478842
44,87,1.0234860916222845
17,104,1.0705634355545044
44,66,1.0345921314188413
50,2,1.020115424479757
53,36,1.0446957903248923
41,59,1.098230377371822
44,110,1.0266186722687312
62,0,1.0632829729999815
53,116,1.0442486192498888
17,116,1.0476833283901215
20,32,1.0474638843110629
16,82,1.0679263919591904
41,88,1.1083889028855733
51,24,1.0333666152187757
63,3,1.0225862403001105
16,0,1.076778024035905
44,35,1.060637730572905
63,85,1.0625361667147704
2,32,1.0365693409528052
63,88,1.0564328378864698
46,50,1.0459073004978043
60,51,1.07990696813379
44,5,1.0224132750715529
52,23,1.0832878606660026
8,108,1.011306671159608
44,17,1.0585293588893754
34,31,0.9867460344518934
50,109,1.0450219980307989
17,70,1.0672858219061578
44,0,1.076168215234897
17,21,1.0520778489964349
17,1,1.0206010778035437
65,115,1.1077641815479313
17,28,1.0307416947824615
31,99,1.0701454973646574
17,113,1.0546660827738898
31,112,1.0508342960051127
63,41,1.0358779057860374
17,60,1.0437504287276949
