PortOfUnlading,ShipmentOrigin,dist
62,20,1.3370704341546766
17,27,1.328697590423482
63,50,1.3383806901318687
63,62,1.348418583295175
31,70,1.341396995687059
17,28,1.3342161434037345
63,31,1.3358570475663458
51,109,1.3244056063038963
46,14,1.3473675940185785
6,47,1.3398521356617235
2,47,1.3567346691020898
46,50,1.3372854319001948
17,52,1.3337692225218885
51,39,1.3302734047174454
34,50,1.3557421594325985
46,44,1.335938065778464
62,83,1.3374113685318403
44,60,1.3335413416581494
53,60,1.3329970027719225
46,18,1.3439628343497003
50,20,1.3384710728589977
44,16,1.3401428567511695
34,12,1.3342996792136026
20,61,1.3234778956643172
53,47,1.3406934984294432
0,27,1.3347446587868035
0,4,1.330308811606041
62,99,1.334828874894551
8,20,1.3329807173327677
20,14,1.360755205154419
56,21,1.3704926084860094
50,14,1.3548252944435393
53,101,1.34312526535775
31,46,1.3242895528674126
20,9,1.293776252839182
50,55,1.3459919265338354
46,37,1.3314154920101697
20,83,1.319674478577716
6,83,1.339323100234781
51,20,1.3360129705231105
62,101,1.345693799134876
63,99,1.3394421019724436
17,93,1.328957982893501
50,102,1.3518060930073261
5,1,1.3087161132799727
51,62,1.3472385755074876
17,10,1.3507790081202984
51,55,1.3440017295735223
16,20,1.3291493159319674
16,51,1.3489713301616055
31,51,1.3627390177654368
31,37,1.3443094507924147
62,50,1.343987644783088
63,78,1.3390168015445982
16,64,1.3470973183533974
6,51,1.3549080746514457
29,51,1.3816147755299295
65,47,1.3623762077518873
17,96,1.3014205545207784
62,4,1.3249552516000611
17,102,1.3463253091488565
31,40,1.3669511786262905
56,109,1.3341665363737516
36,18,1.3629374748894147
50,60,1.3359752701861518
2,81,1.3350430993097169
17,109,1.3201725254101413
2,92,1.3335751239210367
2,37,1.3516606049878257
34,96,1.3078026449573892
63,23,1.346235962850707
63,20,1.3346493087176765
10,47,1.3522738069295883
20,44,1.3236030868387647
60,83,1.3377628379634448
17,51,1.353289776614734
