ConsigneePanjivaID,PortOfLading,dist
3423,246,0.7025815482650485
5064,48,0.7109576016664505
1565,218,0.9290132542872536
511,218,0.7906488604577524
235,218,0.9022516278283936
5724,246,0.7777796132223946
1221,218,0.8345114889421633
5024,114,0.7606156409851142
5796,169,0.7733101538781609
3101,246,0.7582965674144881
1108,246,0.8968792754624572
1513,218,0.9444100561418703
2348,246,0.6332397929259709
5422,74,0.7308908790250176
2069,221,0.975320134062453
4009,246,0.7420904335698911
1636,218,0.7191355984125819
3564,235,0.6691203740026269
4108,218,0.922413337377033
530,246,1.0759301540840949
1775,246,0.7924549921548792
1631,244,0.7635149233309286
3956,74,0.8081269636750221
2109,169,1.0127346374626671
4104,246,0.8078492826649121
3113,246,0.7780309138553483
4027,244,0.8549624583018678
2440,218,1.09178182429501
1289,218,0.708338275551796
1918,246,0.9176686422101089
1367,48,0.7940114529005119
1505,218,1.0291918364486523
1445,169,0.8905365805008582
2225,48,0.7486891086612429
1447,169,0.8339757888710925
2836,218,0.6625319815107754
2707,218,0.7177204111857074
2667,235,0.7416676019451448
1242,48,0.6830944567918777
1394,246,0.6301659228546279
2428,246,0.6764461547136307
5607,246,0.82753968292049
2706,246,0.7228004091552326
1507,246,0.781465513182671
2990,169,0.9296721967735461
2188,114,0.9459345037383693
1992,246,0.7290202400514058
3585,48,0.8507574953671012
3395,218,0.8454975802451372
3787,246,0.8346585482358932
1378,218,0.755788294332368
671,94,1.0518771782517433
519,159,1.0250930887247836
618,94,0.816607713965433
3507,48,0.8444022240915469
3815,218,0.6800799103719848
3300,218,0.7781264813882964
2533,235,0.6794445349701813
1964,246,0.9728802986709135
29,218,0.795265158372266
2250,48,0.7683153753834111
2254,246,0.8317048017467771
3317,48,0.7453822552093438
3378,218,0.7840635340128627
1126,169,0.8741658332624606
3618,218,0.9636090956628323
2396,235,1.0219570463523269
1765,218,0.7899896225758961
1475,235,0.7149498941642898
4082,218,0.927786051694836
3101,48,0.7563171205776078
761,218,0.953601353934833
4452,246,0.8301738607031959
1394,218,0.6371246012193816
1450,43,1.0004039795270987
5782,94,0.6603298240474292
200,220,0.9811457165716482
5782,48,0.637582751257079
2134,218,0.8915087153602924
4464,27,0.7384494202477592
1653,194,0.8485764935612679
5782,32,0.6775435251849038
2305,152,0.7508600396769387
1326,152,0.8764307413782392
2225,246,0.7549197524785995
5782,42,0.6268132094826017
1619,221,0.7661770869578634
2225,243,0.7483654469251633
1303,138,0.8092677465506962
1957,246,0.7908512487608407
3098,218,0.7373694005821433
1748,138,0.7622386992775968
3517,141,0.7717068131480899
4513,114,0.7611445039510727
5782,136,0.6521655065672738
5782,126,0.6646966465881893
4288,211,0.8031364145821759
2305,231,0.8157354949840477
4288,32,0.7441133361841951
3958,58,1.0006961665515388
5697,221,0.7710814047604799
5453,246,0.639731879745211
4288,88,0.7224317874227252
5782,98,0.8054956498422793
1317,127,0.6737624225871903
2600,53,0.8013231989794544
3508,236,0.9396937234061105
3081,42,0.8330248484604194
1394,90,0.7007992842367717
1475,89,0.7701923405485493
3101,158,0.8240800228502069
5782,235,0.6735299666013036
5782,166,0.7119810304471424
1475,114,0.6721107214689255
4496,127,0.9019132495990821
1157,243,0.7389062914465155
5799,169,0.8529769086412021
2261,246,0.6864740688885961
3199,42,0.7693449599402291
95,127,0.7233437172004155
1957,221,0.7729240641263979
3093,218,0.9050014607076134
2225,221,0.7697848784072059
4235,237,0.7481842998947416
1445,246,0.8748040518922997
4288,11,0.7511170577989625
4883,246,0.9513276724943093
5146,174,0.6668294136013303
2042,243,0.9105164749281747
4966,246,0.7482927311211824
5782,127,0.6403032296470234
1398,72,0.8946457521191665
1394,48,0.6339601257017681
582,114,0.7784718211208072
5782,188,0.6864707512514931
1173,42,0.8475320647869792
4183,148,0.8486542260008199
426,237,0.7811013800757272
3098,23,0.7269059652795217
5783,169,0.8275136513901609
1480,27,0.7551376814288753
5531,141,1.0790988326604878
5782,27,0.6353670677968434
4943,122,0.8488143139651844
2012,114,0.8182238936424255
1157,138,0.7693703914327281
2858,10,0.9934054229608071
1770,114,0.7550032857273307
809,218,0.7537259299840245
1289,114,0.7131490973489625
4737,246,0.7510000648243087
3101,155,0.8537942500385854
3101,169,0.7575071400829724
1957,126,0.798212964619909
5782,238,0.8079749791483793
3401,32,0.7864726592919656
3101,243,0.7660977286951882
4808,221,0.883305876914944
1523,27,0.9529547506411161
1475,169,0.6862045696803502
4292,246,0.9813863869224276
5608,127,0.7709273161100489
5782,202,0.6598607780677932
4792,243,0.788333209497588
1535,148,1.0800515844353609
5139,130,0.6990406513214111
1317,221,0.7076689526438713
