PortOfLading,ShipmentOrigin,dist
246,30,1.1212922355958395
228,21,1.1130657643079758
48,32,1.1505546058927263
103,44,1.1287634447216988
188,81,1.1271590228591646
109,14,1.0918582486254829
237,109,1.0715932973793574
189,18,1.0942941904067993
136,100,1.142394672547068
44,22,1.1107808277010918
27,40,1.0842958156551634
96,55,1.1065441476447242
141,80,1.1103139626128333
130,27,1.1315132741417204
246,50,1.0567554086446762
88,47,1.0860470980405807
109,28,1.1178169803959983
32,31,1.1417341849633627
152,14,1.080099704010146
218,47,1.0594544868384088
164,55,1.1348253009574754
64,50,1.0789156151669366
185,52,1.1392913226570403
237,39,1.123649547142642
5,50,1.1155077517032623
53,20,1.1234854757785797
96,83,1.0980250877993447
131,60,1.1053771270172936
188,55,1.1107269823551178
42,60,1.1056943791253226
202,70,1.119240545800754
223,108,1.1313449421099253
243,101,1.0651437384741647
230,51,1.0608128064445086
221,16,1.1337769020880972
152,12,1.1362992248364858
109,40,1.07106699688094
32,44,1.138570589678628
27,61,1.1576518629278456
42,27,1.1071731810058867
211,84,1.1201663464307785
42,4,1.1083475181034632
235,47,1.0717198412333215
218,112,1.0808353977543967
216,14,1.1368544740336282
243,21,1.057671528841768
152,21,1.0768279262951441
20,21,1.095230249421937
102,21,1.1284022160938807
53,21,1.1071393617561884
32,14,1.1114655009337835
109,83,1.1168146112135477
192,46,1.1204382606915064
27,9,1.1712126306125097
48,55,1.0613363204257829
148,37,1.0897793748549052
37,22,1.1187150850892067
74,47,1.0502235016652517
244,47,1.0636554903217725
27,83,1.1271382080657142
5,83,1.1422215891735894
5,93,1.1733092090913229
191,1,1.112664439848491
202,10,1.1208589949778147
129,101,1.0751998062644685
169,62,1.105702668428421
169,112,1.087735305939402
208,20,1.1578147624220168
144,21,1.0868207897458757
246,51,1.0604458036167281
48,51,1.0667969499315535
0,21,1.0998081799064363
217,51,1.138028187411172
151,78,1.1390612189258849
88,14,1.0851883845669883
88,21,1.0869093835353851
222,51,1.0898380896874837
109,4,1.1145360171794891
177,64,1.1098560627017702
221,102,1.0838439730661256
136,22,1.145935105425971
219,47,1.0582625631775175
218,40,1.0746630313141006
46,109,1.1492692508867808
228,101,1.1101632884570531
218,60,1.1081652215548925
88,109,1.0950122156313487
141,60,1.1233389526605606
42,92,1.1259426431996482
27,37,1.0977142666067397
129,112,1.095147626740592
32,23,1.1688667706080846
48,64,1.0758125920380865
48,47,1.0580128878355026
151,20,1.1384638005069323
88,44,1.1184624114206858
56,83,1.1144879428403718
98,51,1.1566992465938841
230,14,1.0706713902098792
130,66,1.1449554690292902
48,101,1.0652352699211665
154,3,1.0931202247738838
118,83,1.1179743888122695
127,79,1.0902222054345267
223,80,1.1206191650458746
221,47,1.0613424543823515
162,21,1.0616634849991118
75,21,1.125784192766462
189,109,1.103994641985212
5,23,1.1687125052724565
27,10,1.1190760816846574
127,95,1.0773753481251853
200,77,1.1095626279711723
