Carrier,PortOfLading,dist
457,241,0.811773745076997
28,147,0.8270290547183582
85,150,0.8585376068949699
446,244,0.8173403111951691
137,111,0.7982578958783831
23,241,0.814074939915112
4,139,0.8157702977103847
582,217,0.7810392656496593
368,220,0.831436107866466
457,115,0.8184456527233124
182,220,0.826364753767848
483,144,0.8433134321655545
202,168,0.8435565874512706
299,51,0.9720672470118318
369,75,0.8596909668828759
395,207,0.8989516081554549
62,217,0.7923547402024269
23,51,0.82069274357387
257,241,0.8254432720797402
249,241,0.806358414801902
105,93,0.8707636796337154
413,217,0.8307842340852533
476,217,0.9027921578713826
398,141,0.8705800255494458
395,116,0.8283024818769523
132,144,0.8081133205975805
23,220,0.8171420049454484
395,220,0.829496211505362
61,160,0.8502034704600062
539,115,0.8585699860538755
298,8,0.8489316638026919
465,171,0.8240384651081902
58,90,0.9145771103815475
574,144,0.8071333425385612
61,241,0.8372729676110404
306,221,0.9013161522203258
182,97,0.8391447940043041
105,130,0.8384969952915396
116,171,0.7751801050534206
23,130,0.832689283149583
23,229,0.8399406044128617
59,139,0.806303150419678
73,97,0.8277125635317394
241,215,0.8653312687362943
243,104,0.9459190044019904
130,194,0.8650616269026484
294,100,0.8836962492870433
446,241,0.8092514723539352
359,111,0.8307756834796497
175,97,0.8866274101393563
254,217,0.8447531266137958
582,154,0.8042775796992438
508,216,0.8766929496611867
477,150,0.8047256033335414
428,171,0.8637085897581918
105,217,0.821240878530911
341,244,0.8544505568487304
384,244,0.916837819313514
20,124,0.8783166121159282
478,9,0.843857079744339
116,242,0.7843597645738295
404,168,0.825213006498026
495,241,0.833849562065942
59,130,0.8307441540860704
368,130,0.846167834442375
508,241,0.7957701299871717
154,244,0.8046828045376709
444,124,0.9140040519248162
40,171,0.8052614341889109
154,77,0.7963786870241165
249,220,0.8100940170032638
320,220,0.8489265654768262
249,234,0.7971000974731786
59,91,0.8356288048837867
406,116,0.8355936389416456
105,160,0.8423364822353635
373,111,0.8220276577132088
105,111,0.8236639744469098
182,166,0.9488288254776437
502,217,0.8378812489765031
137,141,0.8469448745516794
112,160,0.8643102230770248
514,160,0.892211651496057
38,150,0.8498098328709602
211,185,0.8966856433876923
243,127,0.8644883462360927
61,229,0.8653481693140098
134,58,0.8814845302674387
208,214,0.8419512020690101
277,242,0.811711633844035
182,130,0.8362244834591236
303,97,0.8385430473302092
406,244,0.846596974347319
40,241,0.80732704273292
182,241,0.8233112559786865
550,116,0.8928072957787663
287,115,0.9238091191010815
457,160,0.8336937491382871
375,220,0.8132189892099372
166,116,0.9119019327419144
257,97,0.8382634424737522
117,189,0.8878397803221431
590,236,0.8640702049763475
112,51,0.8564594169812543
485,115,0.8123839731727328
457,127,0.8641141684991973
182,132,0.8948873709887266
398,51,0.8481542273823705
257,139,0.8223538473248482
373,130,0.8490543568373791
334,229,0.8394723076905523
