Carrier,ShipmentDestination,dist
456,21,0.9624863381364516
359,21,0.9815895067793983
241,23,0.989943150065041
112,40,1.024558630904981
82,63,0.9964709516082492
334,23,0.9896291874881301
473,54,1.0331743615014213
303,16,0.9953466009880815
431,100,1.0039040611258574
334,0,1.0050239594919341
112,23,1.0134782430582814
329,117,1.0082204517509257
373,16,0.9925316215625831
456,59,0.962266096579177
373,92,0.9823042452335358
334,25,0.9915586430579424
334,10,1.0499419894601618
580,90,0.9996818919732634
396,63,1.0342995300889015
240,21,0.9761464231248412
590,35,0.976235442129629
241,21,0.9712680069995778
590,83,0.9946993526869586
117,82,0.9955550783446857
241,83,1.0029040681464332
112,116,0.9895949882588216
168,25,1.0080928887639726
31,21,0.9659441443426269
241,35,0.9740007344101157
103,117,1.0066333780331271
112,98,1.0507181488709258
230,84,0.9811391557699868
168,84,1.004316784441471
34,25,1.0252748800641192
431,21,0.9592726145471845
240,89,0.987969518240009
398,117,1.0285479483926403
518,35,1.0314809802387441
457,110,1.0660494581929274
28,23,0.9981702294732843
85,35,0.9625299131231648
446,82,0.9899767019918987
137,35,1.0099801516958646
4,16,0.9825979817126479
582,82,1.019489629992417
457,3,0.9947969301470688
182,16,1.005550627197538
483,59,1.024907831634794
202,34,0.9879758836967605
299,117,1.0623627447390132
369,116,0.9796571092946189
395,117,1.021863012441567
62,105,1.028566380164453
23,101,1.0213081112929754
257,10,1.051877539072718
249,92,0.979935743446861
4,63,1.0156933920724052
105,114,1.0125022961625032
413,82,1.0453040357679129
476,101,1.0113840007356234
398,16,1.0141613402270846
395,90,1.0293786664094244
132,35,1.0061697073812996
395,89,1.0244282223284245
61,114,1.0186266747436352
539,82,0.9811883270740509
298,16,1.0300854173089777
465,50,1.0548856066805976
243,90,1.0147943502025945
58,84,1.0024054058428322
306,49,1.027106748544611
105,16,0.9901719694691045
23,23,1.0175744730222505
59,92,1.00243484285394
73,92,0.9993073376161712
241,63,1.0062704530677624
243,23,1.0128534303179808
130,59,1.0595177497182573
294,35,1.0003123280725308
359,35,0.9848433234978334
175,35,0.988263481429645
254,89,1.026681054117424
582,16,1.0115010695798057
182,3,0.9899568855762482
508,16,1.007794577628374
477,35,0.9737754623804774
428,90,0.9865021194730487
105,117,1.0053141377866268
341,117,1.0103942640125751
249,114,1.0065016593185387
384,117,1.0291602055409126
20,21,1.0095732611870127
478,25,1.0264272296002932
116,92,0.9669684722487416
404,3,0.9786510712334088
457,21,1.014072106086782
495,82,0.9883192953254495
59,117,1.0260734625958972
368,44,1.0353279315999575
457,92,1.0033924824425153
508,92,0.9999334394399609
243,101,1.0184853374958038
249,82,0.9929050773914371
154,35,1.0042752541069473
444,116,1.0387665059949671
59,98,1.0685930707092797
40,11,1.0332900072847093
154,16,1.001168345766408
495,117,0.9956054482609034
249,3,0.9704960946525846
320,35,1.010857599654368
249,105,1.0320604871293264
23,90,1.0176080204213835
59,35,1.013246017840824
406,59,1.0536003856520568
105,80,1.0442757715604134
457,82,1.0189671596246106
373,35,0.9957035423389503
105,35,0.9935863002070359
182,24,1.1379389459533351
23,35,1.0014254280499049
502,35,0.9938944719199624
137,16,1.0090644149375814
112,92,0.9833664302714169
514,84,1.0083855342652117
4,21,0.9856398712311473
38,35,0.9889261637415204
211,92,1.0754297503403254
61,89,1.0205591427428382
134,43,1.0604513471147843
580,73,1.0470162385276385
208,46,0.9789532162249088
277,82,1.0140502913189786
277,110,1.0540202164224215
182,84,1.0182469561696053
590,113,1.0460454991885595
241,100,1.0207987019925244
303,35,1.0001066625118256
40,16,0.9941817633807659
550,66,1.055122812677707
334,92,0.9632722229829856
334,83,1.00099740549922
287,116,1.0069854876824789
457,114,1.0304340467389141
375,22,1.0716515540012292
166,117,1.0247060994484596
240,86,1.0168502918843711
257,92,0.9865360359794327
590,90,0.9949440152517387
23,116,0.9963514379092625
485,117,1.057219750513988
457,116,1.0076775497623853
182,44,1.0418174622048224
257,35,1.0002200191042252
334,50,1.0393813332276685
306,3,1.0059300043753214
480,35,0.986620519310236
530,21,0.9973186549863645
320,118,1.0944795164146595
508,25,1.0239910861876393
257,82,1.0070196584399258
298,90,1.0569354136075293
470,84,1.013550387961524
320,82,1.014189190630402
254,100,1.0503183703071304
39,21,0.9901252468781812
446,83,1.00877386610955
100,16,1.001347875488656
112,0,1.0114039673603006
82,3,0.9472046515771321
51,82,0.9509827260460172
202,21,0.9927444253116846
512,21,1.0158001615532808
236,90,1.1055316430117403
117,89,1.0048679147980042
182,114,1.02659977852766
528,32,1.050476127703275
182,11,1.068984015179532
547,117,1.0228980141026633
446,117,0.9972777446465833
241,116,0.966612484306097
241,92,0.9644150252320937
295,21,0.9950219696121556
550,117,1.0359897171812398
375,84,0.9730676872921842
175,59,1.0009390796933855
103,32,1.0189785100519657
182,7,1.1041926757565566
473,21,0.9975872540048191
334,84,0.9829541889152357
298,21,1.0289403184184007
512,117,1.0293043021644865
473,82,1.000686245837382
558,46,1.0130853591752904
249,49,0.9940178582577833
59,89,1.0286889717515026
508,117,1.02110419595348
539,117,0.989646416157484
23,82,1.0044327011065823
277,8,1.0288987756606989
579,114,1.0047484407467502
485,59,1.0591250751167536
495,35,0.9872336957071509
398,89,1.0332134362044079
457,23,1.0306296486939703
368,110,1.0527521425059863
23,16,0.997305031599743
182,0,1.0383151197539908
257,16,0.9960152405713286
546,16,0.9943730341536658
105,25,1.0080909856728144
104,84,0.9957373508119157
393,89,0.9944751741630691
173,82,0.9678536398070199
457,35,1.0143012409763676
23,49,1.0026460769586265
526,90,0.9997097216546535
497,82,1.0046838291787676
374,116,1.0459625414971794
582,35,1.0159281162278992
281,23,1.0350647951875414
439,35,1.0336514887000834
530,25,1.0080692266222155
413,92,1.0283328419817346
329,23,1.0142050703455294
469,117,1.0504799825804574
23,83,1.0264763294586114
547,59,1.016379892559988
49,21,0.9696004538397703
218,3,1.0319553850484746
221,50,1.0667465632515294
359,8,1.012128381590758
422,23,1.0196122622915678
359,84,0.9958159094676375
49,23,0.9796209502965212
528,114,1.0387558793382985
524,82,1.0244501009583473
104,35,0.9841840780739274
96,116,1.0557490387665374
117,98,1.0406408884695597
23,113,1.0831794725464923
502,86,1.027309903608901
560,35,1.0261061078469669
584,117,1.0575994098825114
112,84,1.0101581693493895
286,66,1.0352020410022564
497,23,1.0149862632554556
