HSCode,PortOfUnlading,dist
39,15,1.3250247746972101
91,49,1.3209595872488404
29,15,1.305334578135184
64,43,1.3202726965370988
49,33,1.28995347235884
20,8,1.3067523404689771
91,8,1.3210126502173287
24,15,1.3235722198816282
10,18,1.31708639221532
57,33,1.3271051041249717
45,15,1.3124442052628313
64,15,1.318860646802932
61,15,1.3036699457360166
82,45,1.3227139644856964
40,55,1.3100574655192239
10,0,1.3036168395940746
63,49,1.3058191454038024
14,62,1.319664791226387
62,6,1.3103719807362981
48,30,1.3132666945457458
40,10,1.3152514775948865
91,45,1.3310003303257483
33,62,1.335389125293919
92,33,1.3295134958545012
87,44,1.3233563990465231
10,62,1.3167790729286415
91,52,1.3233607006924493
24,44,1.3087804449189986
10,61,1.311807656660676
24,8,1.3205529237166047
26,8,1.3116062019752073
20,49,1.3095475562981196
60,18,1.2939971604916667
91,6,1.3181407321244478
50,14,1.33046966135901
64,62,1.3226371646991797
64,6,1.3157731553739203
93,33,1.3253818057211382
44,62,1.3195237582549453
80,6,1.2990852030260223
40,6,1.3191741960389274
61,43,1.3060498322759355
47,45,1.2995172605982848
93,52,1.3181563756827797
54,45,1.3256650022896272
38,52,1.2991190367777432
34,33,1.3093854588057314
50,33,1.3280743722404753
60,15,1.2934443478339486
12,6,1.3149186942194189
80,2,1.3013496758150203
39,6,1.3220071976206131
50,10,1.3208233156640614
10,2,1.3121536167870675
87,8,1.3192266853792327
72,62,1.3098918795585632
93,6,1.313026573508978
48,62,1.3263905559267317
87,61,1.321256972849369
89,45,1.328607210872828
91,2,1.3219505929986812
40,62,1.33044238052597
91,30,1.3237432597338088
80,15,1.300618290901184
54,15,1.3143505702859588
57,15,1.3245030138641596
20,6,1.3059614558837243
91,9,1.3135005081338542
92,21,1.3198360657053334
10,35,1.30408944069807
10,24,1.308514406372394
88,45,1.3182701519025224
10,55,1.3108793930815799
42,15,1.3136131244578533
39,52,1.325155955074089
50,44,1.314469005247312
10,43,1.3141745324911815
91,61,1.3228419154350246
89,49,1.3181445030495524
80,62,1.3053043138767992
39,43,1.3277225254901819
91,50,1.3203866744547017
10,49,1.3116730552698885
24,43,1.3272329113845314
33,15,1.3290581942336368
10,8,1.3110280382846082
88,15,1.3083243158512883
23,50,1.3025023812162024
87,55,1.3206157068322812
92,0,1.317626076218273
33,10,1.3235934038779564
71,43,1.3090355535969138
24,2,1.3194140392754758
64,45,1.3299421815068595
31,8,1.32143418344536
50,45,1.3366617276998503
50,8,1.3234221802226134
4,24,1.2492617310157843
40,44,1.3085052984367525
95,27,1.3094114961900882
88,43,1.3093317246862821
50,55,1.3176891987345047
40,45,1.333281191864184
54,62,1.3200015806526477
50,50,1.326546134693282
33,43,1.3324163743693913
61,49,1.3048891962638922
26,43,1.31772571642484
90,6,1.3172998997781957
7,0,1.268776537584407
42,6,1.3113747236451931
90,10,1.3211737622373871
54,43,1.3180306440751468
77,43,1.309869107391153
34,10,1.3016345527555262
64,44,1.3226260066564595
52,50,1.3070599445407944
42,30,1.3130017529640878
62,43,1.3147729371807404
90,59,1.3050128622645778
39,50,1.3248280702225332
55,62,1.3161855270820004
57,50,1.3252199875257378
32,59,1.2869745681860618
87,14,1.3240061017817684
48,61,1.314236356078514
44,15,1.3163059711722391
39,30,1.3246251397899218
24,18,1.318916069343686
95,50,1.3108761656497205
33,45,1.3388798559483672
15,30,1.3020744233259134
1,19,1.2127266504934855
44,50,1.315812329961253
26,10,1.3116360987935747
90,8,1.3202910308859177
45,45,1.3227572962641716
93,45,1.3271286617299276
64,8,1.3183663003146648
24,61,1.3209360103522028
46,57,1.2544232178479433
48,52,1.3192203575079995
33,2,1.3256421661270517
75,62,1.3237320940409387
64,50,1.3192647799317325
