Carrier,ShipmentOrigin,dist
435,34,1.1951566162918295
122,106,1.1916455711637224
243,98,1.2145000877124923
373,77,1.2519687036318439
137,20,1.179382711648941
590,60,1.2641213461756706
202,46,1.1900156758991736
538,109,1.2209304092185838
241,35,1.2360813458051
168,76,1.2403713752116476
257,35,1.2277968440737044
359,76,1.2271961090820176
373,81,1.2281666940876417
105,87,1.2663337449942316
270,55,1.1790025649845899
285,21,1.2842866836913995
81,21,1.1605475544929504
149,21,1.2499907397265946
169,21,1.2143936013536794
344,21,1.2487844728997775
180,21,1.253765414335898
533,21,1.2728425147277969
401,21,1.247580885887146
34,99,1.200410109013319
590,44,1.3063247288976396
230,92,1.2404059490987234
241,64,1.264311348753316
334,9,1.3086098091942924
117,62,1.233588429433959
284,98,1.2221956162580423
320,46,1.1946720704436302
216,98,1.2341391146183014
261,55,1.1580486223101616
145,77,1.256743488301124
404,53,1.163671272141593
96,98,1.1861146284001214
457,76,1.2514219539506095
73,105,1.2528496256896429
55,14,1.1539718375674315
153,53,1.2630321575062615
586,53,1.2062838768054331
579,98,1.2217336297035217
137,109,1.1715368346444197
508,106,1.199730470776558
164,48,1.2223975152841635
590,46,1.1980642665709769
117,55,1.2638966510338443
359,105,1.232181693826403
8,35,1.2222446416105543
168,28,1.2831931997622763
275,49,1.1856500777815069
531,35,1.2156202378017562
446,98,1.2269690760544367
168,68,1.2429904150111335
513,18,1.2733886460108417
410,98,1.234137804380485
305,46,1.2426382971129246
473,75,1.253595508635044
494,21,1.2130775802901812
33,21,1.2067399216549737
383,21,1.238196243665048
305,21,1.2304806347404207
15,21,1.2068165950477123
420,21,1.1923600972763129
112,17,1.2856165846543652
562,49,1.210591193554657
240,76,1.2386446999652045
168,24,1.2931426901902472
40,46,1.2138857383813177
492,46,1.2438533886202745
413,46,1.1933883524366788
446,43,1.2614428326487541
243,49,1.2051378419356686
45,53,1.1977241832230772
97,77,1.2229585573077202
400,48,1.2109867366296905
