HSCode,ShipmentDestination,dist
94,0,1.3625089824199677
90,0,1.3636045370783125
48,83,1.3200799971818924
96,47,1.3053948847310883
42,18,1.3334690651723318
67,51,1.2989715124879564
14,42,1.2969783464712756
71,38,1.3089515609400613
27,4,1.3398376543607031
22,51,1.2888031931860107
65,100,1.3087502281580652
90,112,1.317274309694767
66,88,1.3259664358837264
29,113,1.323718677674021
60,99,1.339231252670288
42,79,1.3117791967732566
93,4,1.35045425593853
53,24,1.3387188528265273
57,89,1.323991912816252
12,55,1.3058229269725936
96,116,1.3344986694199699
35,99,1.3444331756659917
95,82,1.369387882096427
53,64,1.3332492602722985
35,18,1.3211499729326792
92,113,1.334798744746617
47,38,1.317318534212453
36,6,1.278574819543532
90,46,1.3332365389381136
59,42,1.2941449635795184
42,37,1.3200477893863405
43,38,1.319819605776242
65,24,1.329084884907518
18,54,1.275693484715053
90,37,1.329626617687089
36,115,1.3150196543761663
12,24,1.3433693583522524
91,89,1.3448569008282252
53,4,1.3497511105878013
60,59,1.324440747499466
29,83,1.324617856315204
90,82,1.3640433571168356
27,89,1.326670608350209
48,81,1.3246919640472956
72,81,1.3140235149434634
74,18,1.3045772399221147
96,105,1.3055173360875674
36,88,1.3170120151979583
35,100,1.306003572685378
96,9,1.3295214069741113
92,83,1.3383402909551347
91,88,1.3480244215045656
57,18,1.3199423551559448
29,18,1.3236955744879586
95,40,1.3246563438858305
94,112,1.315370695931571
65,27,1.3277240842580795
63,88,1.3209960205214364
47,18,1.321474986416953
67,27,1.3312198328120368
91,9,1.3371598039354597
55,38,1.321421863777297
95,97,1.3351588078907557
40,4,1.3283813084874834
94,46,1.3335880147559303
96,22,1.3542357491595405
37,38,1.31913596285241
93,105,1.301995718053409
26,116,1.3082191358719553
92,81,1.3420094975403376
29,22,1.3458120716469628
60,81,1.3168620360749108
27,88,1.3300630790846688
96,37,1.3199248878019196
87,117,1.2443409860134125
27,27,1.322723748428481
83,116,1.322988552706582
7,115,1.3072954288550787
93,115,1.3336383870669775
27,37,1.311295515724591
17,83,1.310728092278753
36,38,1.3079554193786211
67,91,1.3328599546636855
14,4,1.3322956604616982
57,27,1.3242019244602747
30,22,1.3213744387030602
45,82,1.3428021711962563
75,58,1.2619394404547555
3,115,1.3057250997849874
59,38,1.3073783037917954
98,91,1.3362243218081338
35,54,1.3229545525142126
35,102,1.2788430776979243
91,81,1.3455056569405965
91,83,1.341535523533821
95,37,1.3323112641062056
65,88,1.329578945679324
67,38,1.3224223341260637
67,4,1.3454530835151672
5,18,1.3029430785349436
34,116,1.3086141071149282
36,42,1.2996425202914648
83,24,1.3252885852541243
67,59,1.3357905426195689
34,81,1.3080406923379218
27,99,1.3444968547139848
50,83,1.305119616644723
96,88,1.3387526380164283
92,104,1.3385045613561357
18,22,1.3049283368246896
94,35,1.3339817257864135
87,12,1.2343522520469767
29,115,1.329482382961682
14,18,1.311865716108254
98,100,1.3156808465719223
47,64,1.3258381954261236
22,4,1.3364132791757584
67,9,1.325719720550946
35,88,1.32792609504291
95,14,1.3313488311001234
63,116,1.3165192242179597
90,103,1.304726521883692
65,81,1.3267143741250038
90,85,1.3188244264040674
96,40,1.3047600941998618
37,4,1.3426865701164519
90,13,1.3135556312544006
35,4,1.3420439894710268
98,22,1.3511636406183243
25,85,1.2467054379438716
96,99,1.3579138006482805
95,35,1.3387563398906164
37,113,1.3183542724166597
85,85,1.28664983649339
9,81,1.2987126761249133
98,89,1.3315625286528043
29,37,1.3109210750886373
64,24,1.3385198371750968
48,64,1.3233594873121806
27,22,1.3427339643239975
98,27,1.3345538675785065
91,116,1.3440967329910822
85,116,1.3281248626964433
37,18,1.3207113583173071
