PortOfUnlading,ShipmentDestination,dist
13,113,1.251219977225576
44,46,1.2240142920553418
12,54,1.2170002441853285
13,92,1.195881863789899
38,110,1.1935744402664048
13,65,1.1952462089913232
49,27,1.2306291567427772
13,18,1.2639921541724886
38,35,1.233861802411931
13,104,1.2480409603033746
54,25,1.213142050962363
26,27,1.2545217743941717
5,114,1.1858871861227922
54,7,1.2206810334963458
13,69,1.197186193828072
13,35,1.2308792253690106
13,72,1.2072937531130654
44,109,1.2332098840602808
40,85,1.2376217277986663
13,59,1.2626690449459212
54,57,1.1964190554405962
54,114,1.2006958276033401
13,42,1.2611676592911993
32,74,1.0732271535588163
40,105,1.2100584703896726
13,58,1.2259030155837536
13,27,1.261490145964282
4,58,1.2281246254486697
16,43,1.072657042049936
12,79,1.1978931497516376
26,64,1.2615251626287187
13,22,1.2573107779026031
13,12,1.2150523979216814
38,42,1.2678466088005476
12,88,1.228788181075028
53,71,1.2123330959251948
45,113,1.2549602442554064
27,6,1.1081215545668133
13,115,1.2577545493841171
38,31,1.2118386551737785
4,59,1.2660744690469332
44,63,1.1868422329425812
12,24,1.2276892920157738
13,32,1.1976529814835106
54,108,1.2237805862511908
50,88,1.2446902532662665
13,37,1.274428367614746
4,27,1.2613257968000002
38,4,1.2775542730731624
13,112,1.2550660786884171
10,35,1.1537487605320556
8,4,1.2751731734190668
26,70,1.1934787258505821
54,5,1.2067164799996786
54,59,1.2672213007296835
48,93,1.0605402833649091
53,82,1.2548126876354218
38,115,1.2652843222022057
13,102,1.2134686751025063
38,103,1.2452956060213702
18,77,1.1029962397047453
54,12,1.220219767519406
38,33,1.1971235839383942
38,3,1.1971764436789922
45,100,1.2706036205802644
41,84,1.077375276679439
53,58,1.222057621393885
6,24,1.2125531999128205
54,119,1.202295480562108
47,120,1.261958760874612
54,87,1.2107742040285043
38,112,1.2620360851287842
38,111,1.2035692264991147
40,88,1.2469005286693573
47,42,1.2556311381714684
5,97,1.2366374166948455
38,98,1.2119217810354062
54,11,1.2036032522363322
50,29,1.1359035498878387
15,4,1.2436222370181764
38,63,1.2012675862227167
12,32,1.148917194455862
54,117,1.2242766778383936
15,59,1.243050413472312
53,17,1.180207310377487
44,104,1.2427722694618362
13,108,1.2184971533715725
12,109,1.2057683528400958
26,45,1.2143843714147806
12,51,1.2389977879023977
39,24,1.231638525213514
54,4,1.2748595146196229
17,44,1.064085419954998
53,23,1.2117753396076816
54,66,1.1932208519428968
38,51,1.2762023359537125
13,81,1.2552263853805405
8,112,1.2383131634976183
12,52,1.2179308598861098
12,13,1.221740176235991
5,30,1.2013332013572966
5,20,1.1855986224753516
2,24,1.2386738019330161
13,9,1.2497676430003983
13,120,1.2711665566478456
11,36,1.0404172522415007
13,15,1.2264606516276086
44,54,1.2444812570299422
55,100,1.2675535285047121
38,34,1.1950601376593113
5,83,1.2582435448254858
12,72,1.1548680774867535
54,53,1.2083886127386774
13,62,1.1978809844170297
12,35,1.1958220401679032
45,41,1.2081738588001047
38,25,1.2133894400405032
54,56,1.1999021720673357
44,101,1.1935372831565993
51,108,1.097448434148516
12,117,1.1710933159504617
13,1,1.2004798065338815
13,82,1.2608247037444795
13,119,1.198179465319429
12,103,1.2020020319947176
13,97,1.2443438140409333
12,42,1.2338262551597186
45,15,1.2287641657250268
54,41,1.2125828244856425
38,59,1.270824860249247
28,45,1.2050192531730448
7,26,1.054317549935409
4,53,1.2022010157150882
12,46,1.1951021780925137
53,59,1.264600700565747
54,34,1.1952592211642437
38,87,1.2108700009328979
13,60,1.239489948110921
38,27,1.2661852889827319
3,16,1.0582550350975777
13,3,1.1931638393018926
54,91,1.261232162160533
38,114,1.2012116645595856
38,119,1.2021693496831827
54,65,1.1996094371591295
54,83,1.2646794702325548
38,77,1.2238247687263148
47,85,1.240851674761091
26,112,1.237229725079877
45,91,1.263447062245437
5,67,1.197479794067996
45,101,1.2044642067381315
27,61,1.050708459158029
9,28,1.0948366887335266
44,113,1.2474220086421286
38,107,1.2021401929003852
13,19,1.2024686615914106
43,9,1.1941741220653057
54,3,1.197128171899489
26,115,1.2549329474568367
54,64,1.2725066095590591
28,24,1.2425888244594847
54,21,1.20135196564453
4,79,1.2328048470829214
53,22,1.256634641970907
29,68,1.069520594286067
38,117,1.2252119790230478
38,108,1.2249063003276075
54,85,1.2488076825227057
40,22,1.2539471345288413
54,1,1.2049420954925674
53,18,1.2624295077153616
12,30,1.161201118358544
12,12,1.1659832570169653
5,106,1.1907768185649599
12,105,1.1831155528447457
47,97,1.2371538547532899
12,104,1.2158782945147582
5,113,1.2456669168812888
55,103,1.218833471781441
5,81,1.2515076686229025
28,70,1.1846001244017057
44,2,1.1918475122324057
38,10,1.2000598912792546
35,88,1.2148707892213548
42,85,1.1678621396422386
4,0,1.23863695827978
28,19,1.1699012475354331
13,87,1.205693403525012
15,35,1.1917180195450783
13,94,1.2015406345682484
53,83,1.2615497750895364
18,19,1.0881251197840487
38,116,1.2659511427794183
54,88,1.2554353613938605
47,100,1.2617377095988818
39,100,1.2366380308355605
54,23,1.2300908342003822
38,88,1.2577421867421694
12,25,1.16086955634611
45,6,1.228079637778657
21,49,1.0727617623550552
53,53,1.190254324781043
54,0,1.2448240602388978
47,14,1.221746179674353
12,108,1.172000797997628
38,85,1.2502162658742495
38,83,1.267432801425457
13,56,1.1957468252096857
53,20,1.182591992430389
2,13,1.2371536291071348
38,57,1.1956321293754237
34,24,1.2147633603640966
38,11,1.203388643584081
40,116,1.2559375848088945
13,17,1.1972020694187708
45,105,1.2207460371511323
15,52,1.2173571331160409
40,113,1.2449584592665945
12,97,1.2092002891004086
