PortOfLading,ShipperPanjivaID,dist
69,2306,0.7300173497891852
219,3195,0.7438502774706909
170,3017,0.9055683469133717
149,3485,0.8852631802271519
219,6077,0.9222826011079762
222,5305,0.8329029626079968
222,244,0.8961351827851364
144,703,0.9011796175369194
97,747,1.0418511150138718
127,160,0.9263051157551152
219,607,0.9815590889858348
170,1960,0.9288632507835116
248,6211,0.9159628548991999
219,863,0.7040778478341443
127,3110,0.8294555842876434
54,6898,0.8385647726910455
219,1003,0.7111229454832417
219,6248,0.7316898959023612
114,1003,0.7098965985434396
26,6840,0.8412251264921257
170,6497,0.8912834759269442
69,4255,1.023986377354179
219,1049,0.7499882142458644
219,2258,0.8447155699666057
80,3728,0.8780469798616001
29,835,0.8460784272423812
54,6553,1.0068510951740401
54,3669,0.9905442712562424
48,3589,0.9516115676212523
219,3056,0.8053713302527156
219,5007,0.8989511760217803
248,236,0.8771538723792348
167,6665,0.6444423028400966
115,4050,1.014123628980347
114,6926,0.6866616372551236
176,3972,1.0240630209445953
170,3327,0.7245321720838547
219,6847,0.8057953294898782
219,1196,0.9855576435636196
48,5155,0.7422033101320267
93,6410,0.9861371112721307
245,3321,0.7824596757335323
115,4335,1.0302944396223341
69,4576,0.8245457613042423
54,4307,0.7016289558793817
185,473,0.7849454182599273
219,3303,0.9704806755429932
219,2362,0.8347230812401644
246,4928,0.8116278499364853
219,5843,1.0778271686285734
248,6600,0.8260404021213097
170,6534,0.9467455872467586
219,4147,0.9538859187492302
247,6248,0.7738604630742755
149,6362,0.7407852932810783
69,5775,0.8215800789850098
219,1603,0.8564343858368895
232,1009,0.7500228835935039
127,3190,0.9080255308321544
219,6447,0.7182902470231056
245,6017,0.7096543801682336
219,3326,0.7762841225235856
219,2163,0.6949204515133586
219,3172,1.038184153182166
238,5046,0.8693405561747828
54,2194,1.0091681847614902
222,653,0.9019594660827092
148,3629,0.7808886074594089
219,6568,0.8609715060197881
170,1372,0.9110159450875861
149,5265,0.8532427783523288
190,3153,0.7636024423741868
248,1660,0.8484811836055347
219,3589,0.9447383744908231
248,2147,0.9928816519677639
219,1933,0.971662597996848
222,6067,0.7488661003964288
222,6568,0.8658916695401006
54,5592,0.853588627917426
54,3153,0.7978015020489693
248,891,0.6332512018936021
115,799,1.004967814045293
48,2604,0.7419561752384263
219,5613,0.8033445136887687
219,4855,0.7354062889103911
158,6352,1.0811281510229622
144,1825,0.9360732095582145
48,3362,0.7786053749067443
219,2281,0.8588029529367175
248,6896,0.75143372799669
115,4404,0.7802573650010994
188,4107,0.7956610654613802
10,5504,0.8950908074953726
158,6004,0.7991246780646699
54,3272,0.9198649025389126
97,3825,0.8484181539554682
54,3362,0.7416563842977796
77,4263,0.9510882776230574
245,1067,0.6904984079966587
219,6201,0.7783167585730553
190,2213,0.6974530347755977
36,5561,0.7140747159719467
219,450,0.7274000006062644
245,1354,0.9907467594104153
115,2539,1.0486325257058655
126,581,1.0596726955845952
54,6472,1.0180048532118755
127,311,1.0136451252869196
245,6551,0.7335508955376489
222,1254,0.86858415763293
100,1712,1.0912912005026425
76,2201,0.8953643962740898
170,356,0.8442673608660698
241,6310,0.6300900535924094
248,2622,0.7055284960993699
127,1698,0.8691790997982025
241,4501,0.6312472208270005
185,2924,0.7144273035893483
245,6335,0.9118238841848714
133,1896,0.9360887897866113
127,1391,0.8368683020983424
245,994,0.6406020809497152
245,6926,0.6850391456059047
48,5358,0.8479748256504536
133,6920,0.8567414432764053
245,2032,0.959247600287199
245,1171,0.8961271462695939
129,3136,0.8221147725624698
222,259,0.7281209666814122
241,604,0.6558877016816821
111,6690,0.7389850648386138
170,1060,0.7876549705064723
222,4447,0.9131923524130668
115,3343,0.8006749585536974
97,6915,0.7606139796386872
219,2749,0.9825920440655734
10,5558,0.8205309151006597
169,4067,0.9535747952759266
183,1716,1.0084652655891009
33,2638,0.8699252113167729
245,1446,0.6775465389447553
33,3362,0.7847422297511782
248,5239,0.8244642604674611
155,2835,0.8650281642164502
149,5830,0.7769334066127028
241,5464,0.8095202842461211
33,350,0.8979351137365613
115,450,0.7563205493913431
48,3917,0.8931219088179725
54,644,0.8077041211737586
219,706,0.7640309421611684
222,450,0.7394515104325754
235,3707,0.9217330419591495
158,1307,0.7189135457987764
246,3506,0.9786471304084573
188,6694,0.9497724079660007
219,5723,0.963876453361341
48,6925,0.7633488880985949
54,851,0.8224544321585979
222,1354,1.0024892794234412
188,3276,0.6282248092549187
138,3362,0.784275946872575
111,2846,0.7415816869054522
115,2004,0.8533738190308213
170,4570,1.1301783780966486
54,736,0.7211276688612998
97,1796,0.7852060369082859
111,6327,0.935525486478582
167,5582,0.7302294011626925
222,1422,0.8882707176463944
219,5632,0.7988335868077618
115,4439,0.7608586432678359
204,6823,0.873080353651728
245,4436,0.7202853081481797
219,2422,0.8895759853933539
248,4304,0.905377771705389
72,4211,1.0275484876973289
222,70,0.8784256513629641
222,263,0.7922277580946684
111,4431,0.9577022064477205
219,6909,0.6750440288867269
248,3864,0.8949393297412566
245,622,0.8631481786391565
213,3838,0.823597850544112
48,4597,1.011851663036006
245,5638,0.9799569430095809
245,1700,0.7371710145047733
59,3838,0.8070010010685239
240,2754,0.7381055525371006
48,579,0.8545696660876274
167,4766,0.841118784754404
77,5241,0.7834996304341725
162,4023,0.7643207503216607
245,3283,0.7385747629616942
222,5702,0.8862246104649135
241,664,0.6086452374500888
219,5427,0.7108945591109139
238,5104,0.9328495668513435
77,2734,0.8160074576735497
245,745,0.7337977481739861
105,3629,0.8342255875468254
133,1727,0.8045878458235945
238,1904,0.8357776435358184
219,6053,0.8005509424422469
97,6694,0.9411117498363767
233,83,0.8742585820811135
48,3626,0.6405331982033593
138,5254,0.9178952979190009
240,6081,0.9315639662423304
133,211,0.7814042967677649
97,1821,0.7814910137759787
135,1244,0.8408455896590438
115,502,0.8614472132176161
133,5471,1.0619813090057246
127,5614,0.9629714707178729
248,571,1.0737539109374796
95,3362,0.7430901985083308
81,6318,0.769746375120511
248,2900,0.7100777772388288
133,5625,0.8165494395153863
245,1003,0.7138117631631238
241,1236,0.7798060370343072
91,6032,0.8662234236087117
135,1589,0.9189597209333442
190,4444,0.7409462630748749
34,83,0.9158838255264398
216,2835,0.8568116862859044
126,1902,0.9387532553768584
33,4048,1.0545650209699358
246,6694,0.9800389877387455
248,4202,0.8551290125719139
48,1007,0.7703222132154873
213,4852,0.8595382358346667
222,4025,0.8168331629463604
126,668,0.6852660541023526
115,764,0.9830554691808564
194,4857,0.9062650938119207
170,3589,0.9317292913994086
33,2994,0.9759757832757064
170,6448,0.9360300983701434
248,2459,0.8562157079577446
69,5711,0.9120651672461203
185,4267,0.6999369449913502
248,3943,0.891753365950925
114,3265,0.9265073207872254
238,6610,0.8847821035555431
245,1601,0.8427254145166704
54,1599,0.8139965540862509
168,5839,0.8865933460848672
108,2625,0.8698491635067123
131,3651,0.7308575340679714
33,5087,0.8241713020418372
48,3530,0.8419595352107925
127,259,0.7430826851299831
144,6694,0.9212959781289101
202,4124,0.8322125655998077
202,1947,0.8108023651210325
33,4852,0.809849677341325
107,2685,0.9086662020002093
222,2581,0.7156593368521759
144,6917,0.7967736630567482
167,1920,0.7111620248428413
167,3067,0.8250392968101161
188,1637,0.9800773752587182
