Carrier,ConsigneePanjivaID,dist
318,1123,0.6871394645422697
112,1241,0.8529385647603444
96,1426,0.7256768218108586
319,3766,0.7607067401653954
21,2985,0.7375479015920844
523,2229,0.759746760928205
371,2522,0.7512492707797459
69,2158,0.8665194319827216
490,5825,0.784512170191322
250,3841,0.9255093727260828
92,4644,0.9310371532504048
418,3006,0.5452536859416536
93,2854,0.8563202273632798
391,2038,0.866215564842735
486,5836,0.9689460785261222
36,5564,0.7119795403310231
32,5937,0.6099054838663766
57,698,0.7781318150726813
106,55,0.9221325788114753
412,5104,0.784709275833198
318,753,0.7605270679507937
459,5341,0.726492793698396
496,2950,0.6721268014184066
152,3963,0.8409919582440385
422,2974,0.6863146795824703
32,5854,0.7175641312663045
604,5698,0.898145193167563
364,4090,0.7935139874794653
518,3900,0.9784387672053916
472,4536,0.8601208361131805
523,363,0.8703066994036947
523,1734,0.7339118474296161
580,1501,0.646235858223268
546,418,0.9473353126751525
92,3627,0.725095581795488
32,3206,0.8858315210257258
319,5276,0.7244658938476017
106,5193,0.7003125191799232
106,1354,0.699528880417347
250,5613,0.7850143153752599
472,3798,0.8962040534242988
382,4279,0.9534177596547774
141,3756,0.9677573612758091
172,3276,0.9517796177949224
414,5063,0.8850321947996106
53,1893,0.9882525015356285
248,5640,0.5944759845733643
152,836,0.8325546208236899
95,812,0.9760049507021904
36,365,0.6954517955226558
21,676,0.6662215366959572
608,2903,0.7481060496398381
586,409,0.6721224689057895
205,2889,0.8976317990039077
291,1339,0.7327836884983948
319,3545,0.7709620588658643
382,4415,0.8041955253907612
291,1890,0.6053049979465348
465,5672,0.980694569514266
96,3143,0.6480936887008804
184,1287,0.6839265658387116
3,1861,0.6637629238622529
382,4460,0.7670218172882285
459,5084,1.0371226979685682
377,1786,0.7915230036846229
316,5776,0.6315467378922871
369,1529,0.9277238899043628
334,1817,0.9707077925226518
485,3288,0.7446354052850178
319,5937,0.5595304667949677
319,5193,0.70977111879204
95,1835,0.8069899582437107
112,4604,0.8224089377160583
319,5838,0.7323111316987446
346,5470,0.7545698093516486
319,3361,0.9519303808254855
184,1796,0.8935344800619143
250,5772,0.7173869077648435
254,4845,1.188050634094647
409,5251,1.0800098787461008
36,3018,0.648344973102212
53,1218,0.8233508568789277
421,1270,0.7172126706157412
184,5442,0.7358188778162003
346,5440,0.7464677831158042
184,1302,0.8752122127584049
164,2035,0.7024879327842167
184,1,0.7587013819387981
608,4022,0.733944659786565
495,1873,0.6004975438117981
184,1970,1.184805482093777
312,935,0.6511448376945087
110,4435,1.079680665263108
106,2032,0.7623295799962112
346,1627,0.6563662269285747
3,1760,0.7571512130754334
319,5854,0.7346632552466222
250,408,0.8209756807024989
106,2349,0.7731694259813854
369,1170,0.7400150820612907
164,4024,0.8221416068928582
490,5599,0.8015614678817136
382,3390,0.6483264906065804
409,285,0.7107427354369845
69,2619,0.9069839960762432
346,5339,0.8031826778315008
346,1890,0.6294347271323204
316,2929,0.7468949503132275
394,2128,0.8748262094865952
341,796,0.7730847094208002
164,2858,0.6555665965591159
53,29,0.714169402207647
506,3797,0.6933802195957729
346,1102,0.64307307398745
53,2998,0.8842900033508029
490,5408,0.7552445828914642
597,2328,0.6864793981824603
21,5470,0.711142646414893
369,5064,0.7120466551610402
106,1474,0.9286377203118589
238,5772,0.7256127085004535
546,3945,1.2060736157000065
303,1419,0.6878540867141315
106,1501,0.684106013870665
382,3005,0.7169134084667478
346,5942,0.6837671952588218
187,2869,0.9132350695186428
32,3361,0.9203368443995714
604,3414,0.83357073366642
382,66,1.0216967506068093
238,2528,0.7423684554440635
358,5582,0.8384887252052847
205,2253,0.8683481346815825
485,354,0.8646299306835447
96,1200,0.9051779974917216
346,5302,0.6518352989639554
382,4783,0.8569265380501747
447,754,0.8139262454850333
164,2140,0.6622445514159543
148,4581,0.7800519303086081
112,2182,0.8152950629591942
57,996,0.9520190869058881
377,39,0.8261086397937366
575,5229,0.8771168554999998
184,2512,0.942518485976117
6,624,0.7800194397568703
418,1641,0.8032885369445596
112,2377,0.7909730738028884
319,1339,0.7282490102308137
79,1496,0.6784447314483779
301,1579,0.6903118783874171
32,2140,0.6846510246396065
21,11,0.8302273601293564
382,1118,0.8245256789294737
79,885,0.5456969525132861
346,4452,0.7168697374207633
106,5937,0.5865393640207393
495,5751,0.6644925432545798
346,4071,0.6003230746303286
112,3002,0.8997156122433287
106,2182,0.84239904156753
248,2456,0.7632859780320099
382,5120,0.8319837315274137
164,2424,0.7955652879817146
95,4934,1.0037563778460026
346,231,0.6271260747952121
32,1354,0.7052780320601804
79,2615,0.5752608478069305
485,3088,0.6789036856165954
547,1951,0.7336872302527938
600,3386,0.7373444310256413
248,229,0.891685486372028
