ShipmentDestination,ShipmentOrigin,dist
13,110,1.2038382978311606
91,45,1.1751962437161378
88,50,1.1609259956915463
0,107,1.1722682661243848
38,93,1.1776480562984943
18,110,1.1865776857095105
88,83,1.1669556008917945
81,79,1.1540068393307072
38,26,1.1599918806127139
38,36,1.1469089878456933
38,12,1.171845007687807
9,46,1.2022635170391627
120,1,1.1379232151167733
81,99,1.1854789219796658
48,66,1.160516502867852
91,78,1.20606939760702
38,46,1.1957711790289198
4,26,1.1434385042105402
38,43,1.1863185444048472
64,17,1.1641350026641573
103,18,1.2306616668190276
22,17,1.1566822951925653
64,94,1.1613269256693977
18,40,1.161758683089699
83,43,1.1732299845565908
4,62,1.156960058691246
115,17,1.161682146468333
104,110,1.187058441074831
81,17,1.1538649212036813
64,50,1.1632876805961132
83,71,1.157521998775857
88,25,1.1588392334857158
38,98,1.1464116147586279
24,43,1.1814580857753754
4,50,1.1467961982956953
60,101,1.1507956649043731
113,99,1.190605585596391
35,82,1.1569238741483008
88,99,1.1909884554999215
89,101,1.140713548021657
81,16,1.1716572333659445
88,71,1.1654031596013479
42,1,1.1484829017094202
24,62,1.170573446101376
42,7,1.1633174328931741
22,83,1.1618303912026542
4,17,1.1448722226279122
9,62,1.1825020190860545
59,66,1.1563177098120963
52,79,1.1602867479502623
83,99,1.1803918869367667
83,62,1.1634645939671568
64,12,1.1709691674581595
115,45,1.1671436631253786
37,30,1.142534715788705
38,52,1.1859445057260538
91,43,1.195258351575051
81,26,1.1533925735524722
24,79,1.154986365831324
24,36,1.1423235088586807
51,50,1.1601115550313676
4,79,1.1440996030079467
42,17,1.1659301684371062
18,49,1.1612666978367738
116,46,1.1897029450961523
42,12,1.1807109639048576
38,97,1.1731267677886146
9,110,1.192887538245746
35,60,1.1930938480155808
83,40,1.152023528569511
4,70,1.13365279723491
116,99,1.188632134348154
116,70,1.14772586950234
27,62,1.1721179485321045
46,46,1.2256239940013205
24,17,1.1571941317192145
115,46,1.1941362938710622
22,40,1.1566001120622136
51,110,1.1821688328470503
99,12,1.1630031024771077
116,107,1.1809055109042674
13,18,1.2146003709307738
104,60,1.1838338944528783
82,110,1.178679206009422
54,50,1.1791572490973132
99,27,1.1489752126591546
0,58,1.1177986458476101
116,78,1.1916801817715168
37,17,1.147218613752297
116,12,1.167875002537455
38,88,1.195957756468228
42,40,1.1647478605487518
115,62,1.1763783980693137
24,52,1.1790568625022257
99,46,1.190923952630588
82,18,1.1903318387589283
42,90,1.1648364721664362
115,12,1.1695277041622572
79,26,1.180938722299678
4,83,1.1500394067593984
27,17,1.1595748396856445
4,80,1.1414511863674437
9,43,1.1945408723716224
115,34,1.1594010051339865
22,76,1.1653125956654549
83,45,1.1566853227892093
4,82,1.144164098692792
73,16,1.202684547752142
27,110,1.1835514727447713
51,43,1.1841225485716547
89,62,1.1753257199057512
9,93,1.1825862465692418
9,107,1.1928966772476477
22,50,1.1567835814452596
113,110,1.1820450111159257
42,80,1.1582100412675314
60,18,1.2227703819849662
35,18,1.2162535802594252
104,43,1.1930160857737064
0,18,1.1893872757043158
100,99,1.1975464011941637
104,107,1.1889397742758905
40,18,1.217420615588448
64,82,1.163016333111695
22,110,1.1809163660343205
59,70,1.1437930166721344
116,62,1.172259018357311
81,71,1.1589340780462538
81,46,1.1868282205292158
88,43,1.183665091570999
42,58,1.1383095447506224
38,103,1.1481230344091142
104,62,1.1757471768983774
18,50,1.1619117020496301
81,36,1.1399894809084279
24,110,1.1827278233000211
115,36,1.1452220417559147
54,110,1.198264195982899
4,31,1.1314332096704416
82,82,1.1427083552948065
58,50,1.217925506510905
83,110,1.1751695626548357
83,16,1.1686077485127109
38,83,1.1707782138671194
24,83,1.1613384197865213
22,45,1.159324181133083
82,12,1.1611979300422328
22,46,1.1873812515820776
37,12,1.156858682100262
59,36,1.1369238340162806
14,43,1.207251402948584
4,43,1.1706514350537742
116,61,1.1628540541444505
100,110,1.1894913337060384
81,40,1.1550356125725167
88,36,1.1453382479293006
105,43,1.20592400431633
81,62,1.1682380996644497
38,34,1.1590695200221879
27,12,1.1667814233473368
24,82,1.155857890844345
0,110,1.1742174614753043
116,88,1.1890678645244666
38,73,1.192376003733703
89,60,1.1908528794135367
115,71,1.168364799448422
83,22,1.1395121126302652
89,107,1.1836882329163407
47,74,1.1404987552336283
18,106,1.1751298228544849
42,28,1.174717637045043
115,1,1.148542187575783
116,79,1.1590253641562802
113,101,1.1392749868266816
81,60,1.1849204067673003
52,110,1.1918779438627618
51,12,1.1702479432736124
88,80,1.1556228223655904
116,36,1.144129917025566
99,43,1.1808653745268072
99,62,1.1670406199991703
83,46,1.1821279637515545
115,43,1.1873083457882916
24,12,1.1679222679563932
89,110,1.186357262411288
27,27,1.1644762797015054
55,16,1.2154615755592073
99,17,1.1508483695132392
64,19,1.1647479991827692
18,83,1.1672832923276084
6,1,1.14813808458192
59,46,1.1842829103448562
18,82,1.1593962498009205
37,83,1.1544604046004159
38,17,1.16317942366004
91,4,1.1634276754089765
54,36,1.1580811472875732
38,101,1.14131749900324
37,60,1.1804120200020927
27,60,1.1890546918979712
24,70,1.1443514302372932
4,30,1.140884546296937
4,40,1.1452110962543105
112,62,1.2166378732238496
104,46,1.1994517488139016
46,110,1.2112995694790567
109,62,1.17897527930992
115,73,1.1917778913463866
88,17,1.1598838748676437
37,98,1.131250480988196
117,36,1.1730383379118783
59,78,1.186621538230351
97,60,1.1795010981815202
91,25,1.1672869324684143
42,110,1.1992989057408912
116,106,1.1728851678115981
4,8,1.141303155039038
83,50,1.150101721952004
82,62,1.1669491327234678
91,60,1.2008408020649637
38,13,1.1597860136202403
24,60,1.186241127550602
83,26,1.148202119661229
105,36,1.1602570648704256
113,45,1.16398012724572
18,80,1.1573830853615488
