ConsigneePanjivaID,ShipmentOrigin,dist
1419,46,0.874743497797421
2314,101,0.8010583433455655
2988,110,0.8287292458117008
4826,110,0.9574138575366565
5320,62,0.738655721444437
3953,50,1.0195854934198516
365,110,0.9210633974788445
3670,110,1.0197151037199157
5653,16,0.8855005827333245
1600,18,0.8664319355572973
3859,46,0.9932412304250258
1524,17,0.9018495407487664
1400,46,0.9692495736692633
4954,18,0.8556082748941013
2608,18,0.8583821420158658
337,110,1.0295628647186927
2032,110,0.9185263817863805
2712,99,0.9680629612079689
4766,17,1.105244557772364
2158,17,0.917863952262061
1492,62,1.034291619701045
557,16,1.1284143586776085
5114,18,0.9389741704134005
2452,43,0.9370299072137901
2803,12,0.9620196339840602
1101,107,0.9395869733499629
913,36,1.0971485610519136
2610,46,0.9729666234925389
5937,99,0.9609157884759563
1241,43,0.9089663768453258
1210,60,1.0025750558291162
2712,62,0.9496018583221095
1684,110,0.8540379659139684
5853,18,0.9076429082612906
766,18,0.9862760959991387
4022,35,1.0066014876522655
270,50,1.1525156450058733
1428,27,0.8535129316151142
4330,18,1.027895727660507
2035,18,0.9128370955586433
1627,58,0.9829859039080995
4915,50,0.9314525398824897
3524,43,0.9635124578406769
1454,110,0.9446589803389672
553,50,0.8311218071196761
1338,12,0.9802357378814902
4649,88,1.0631111097921218
2103,43,1.0838149514581477
5480,43,0.844226977022897
5369,40,1.0299786467637335
1280,43,0.850353019045932
3944,52,1.0234359399016415
1181,43,0.8733205044908183
3142,46,1.0113531446882658
995,46,1.1370085581604923
1890,43,0.923192460089922
3393,110,0.868853258235114
5315,43,0.9581634444849831
1755,18,1.0114032955503458
5650,18,0.8428555413016251
2140,46,0.8885196314326355
2008,62,0.9124633174921785
1889,26,1.0511372296937875
2992,50,1.0236383389814623
1748,83,0.7968838305345604
122,36,0.8310411338295255
4079,17,0.9519121476582119
345,36,0.997924342751503
1532,83,0.9118605447666985
3706,43,0.9129683910203832
1586,12,0.8059593173010009
2220,18,0.8185516372988266
1504,18,1.0287911250322526
2610,110,0.9899365562014282
5270,18,0.9456257447600365
3533,34,1.0383645317384176
2118,62,1.2120294855641467
231,76,1.027248291298747
2050,45,0.9542476077164922
1444,110,0.8735669776797295
5937,82,1.0710458066314459
2518,12,0.871325673901343
2988,45,0.821714418674154
1589,45,0.9810430066926139
1586,62,0.8350210819792535
1586,101,0.8675726700041976
877,16,1.018274332945501
2365,50,0.8159709253481456
2831,110,0.930598612342562
3004,43,1.0486486314662866
5481,62,0.900024052709341
2529,43,0.8562149671571595
2074,62,0.9361275812344891
2962,93,0.9761619902149375
3706,107,0.9555734295531043
1490,50,0.8581537455320358
3282,16,1.1315085696322578
1386,18,1.1138904696064336
5589,110,0.9034463986754417
2845,18,0.9190732871315309
1652,18,0.8403679034672678
5218,18,0.8217904647546155
1941,18,1.0110051669180393
5616,18,1.0242868582052844
5260,18,0.7955179448638644
3007,18,0.8434766009449959
2529,18,0.8480897024273872
3452,18,0.9483900911041668
1918,18,0.8810679679736495
2371,18,0.8055281846359971
2784,18,0.9891463954533849
3932,18,1.096801940883909
4883,18,0.8896042739174196
2755,18,0.8906868614722043
4615,18,0.8640707608844552
3415,18,1.0519268693668502
482,18,0.9628875516355038
2308,18,0.9256666249462536
3470,18,1.0249838983373982
1207,18,0.8940486861392856
2328,18,0.854847286428724
692,18,1.100367026137454
2590,18,0.7665593209011214
3369,18,1.144016679908548
4524,18,1.2048780375293322
2926,18,0.9863892836230141
2068,18,0.8131697135312217
5468,18,1.0522669202515058
4501,18,0.9752351343631744
3664,18,1.018868433843766
216,18,1.125921989125865
4492,18,0.9683076374764953
5833,18,0.9069488292027797
1354,43,0.8629958932953221
2255,18,0.9823219456842968
356,18,0.8918819436969768
1673,18,0.9361737202852964
5256,18,0.8853773603747997
2533,18,1.0948016050138645
3289,18,0.9697942063212395
1495,18,1.0429261454514094
1493,18,0.9419628006539175
2288,18,0.9325111487082073
1460,18,0.8177085340264186
5346,18,0.8148358246378068
3067,18,1.0213863224323307
1404,18,1.026867875829339
5335,18,1.1645579636096954
469,18,1.0610349588761372
5916,18,0.9522221099053111
1367,18,0.9677506958001426
1133,18,1.0289525967091322
5124,18,1.0199129549520356
2175,18,0.878740174097142
5223,18,1.028350270752396
3702,18,1.04172206563609
63,18,0.8731135247009141
854,18,0.9365812290093994
3746,18,1.199818707536906
3148,18,1.0171497684142585
911,18,0.9195871909282037
4488,18,0.9658598557912877
3618,18,0.890728911118848
3431,18,0.9003300531102079
5764,18,0.9571256967527526
2377,18,1.0306274209703719
2570,18,0.8887615794582027
3158,99,0.954075035239969
1613,50,1.0237594982442846
201,18,0.9486397675105503
4177,18,1.072874057505812
4383,18,1.0585794072332126
1582,18,0.8005388264012124
732,18,1.0141521043011121
1210,107,0.9192366067852292
2712,18,0.9305582547094673
4880,18,1.0792482633675848
4756,18,1.0255500911069768
1440,18,0.8531969477023397
1719,110,1.0716173276305199
1583,18,1.1062648831201451
1949,18,0.8432928887861115
4008,18,0.9521130169076579
739,18,0.8412250245455652
1866,18,0.8355673080576318
3450,18,0.91830557790984
1973,18,1.0839091073721647
4354,18,1.1799090403531278
