PortOfLading,ShipmentDestination,dist
238,40,1.1309953119073595
127,111,1.1541192608752422
222,82,1.0788680920377374
238,58,1.0832123473020536
78,85,1.1046168740306581
231,104,1.041694261665855
248,54,1.0965485439768858
125,91,1.0591164015765702
148,88,1.0369378509266036
33,113,1.0360061994620733
89,38,1.0098532965140683
170,120,1.096942238509655
221,89,1.0783993702914034
170,60,1.1156972955380167
31,82,0.9898279165582997
158,115,1.0279481948486395
248,8,1.1508762358820863
51,4,1.0088510625064373
105,47,1.0530510475592954
10,4,1.043905465730599
128,109,1.0770597021494592
113,64,1.0197480682815825
115,13,1.093128993575062
174,91,1.0501151148762022
240,24,1.039227734719004
221,81,1.0811752703573023
67,81,1.0414676873811655
245,82,1.0657963821930545
33,83,1.018474971609456
149,42,1.060979347443208
222,60,1.1327239668795042
113,115,1.0404926392116718
122,24,1.0368693039885588
115,104,1.0973169367228235
131,81,1.0522801649889775
107,38,1.0068003141454287
246,15,1.1478881017704095
190,2,1.0961775508310114
224,115,1.0678354994659978
13,116,1.0848778733717543
29,81,1.0979389415920846
223,89,1.0700574911066465
88,4,1.0172312642181558
79,9,1.0714429300278425
26,18,1.0761801770755224
216,104,1.068983663671783
229,113,1.0928371676376887
114,54,1.0986185962600368
248,110,1.1768130769154854
55,18,1.0197045909506934
109,38,1.0370294965271438
155,82,0.977450470839228
207,70,1.0483104607888631
128,35,1.0729861344609941
217,38,1.0804756698863847
222,83,1.0859607745494162
232,51,1.0543995526220118
154,22,1.0233187634231788
246,60,1.1229428012988396
143,120,1.0542741537626301
113,77,1.0393017455935478
114,18,1.0857714652749044
54,37,1.0845789043232799
229,24,1.0894823824720723
65,81,1.0994491577148438
59,115,1.0221870163721698
202,115,1.0471723269937294
51,15,1.01395744590887
167,42,1.0587177138243402
248,82,1.0734290783958775
5,4,1.023710022015231
26,109,1.1120327860116959
115,91,1.0532945202929633
173,22,1.0120367732431208
248,79,1.1148628831974097
170,12,1.1478704371090447
39,88,1.0353332342846053
115,52,1.087892049657447
214,99,1.0198735796979495
158,71,1.0430666612727302
77,64,1.0110863106591361
248,58,1.104436930269003
245,14,1.1239783614873886
22,51,1.0641561994063002
185,6,1.0826283382650996
133,88,1.0636005359036582
44,59,1.045694937929511
80,100,1.0645420381001063
159,89,1.0686788918932766
158,109,1.065387719177774
219,79,1.1174749505839177
164,18,1.0591363016116833
137,116,1.0451700325523103
205,116,1.0203960921083177
248,103,1.135075371180262
62,82,1.0321642793715
79,113,1.0779769686715943
232,38,1.0403650772890873
223,18,1.0648941514747483
173,4,1.0101528189011983
126,52,1.0722462146409921
59,88,1.038411428353616
222,88,1.0919865218124218
56,42,1.004311780844416
48,64,0.9954149973179612
83,81,1.0482645026807274
159,81,1.0756344249072884
238,13,1.0829767376583601
137,47,1.025740522891283
48,46,1.0493491696459907
135,116,1.0332287269245302
162,51,1.0597407716725553
65,116,1.0944206661411695
69,91,1.0416328640920776
69,24,1.0600431939320905
170,97,1.0985167803508895
238,115,1.0530985914436835
93,113,1.064508127314704
111,115,1.0181780218013696
114,82,1.0768949400101389
140,22,1.071074593546135
222,89,1.0927683780235904
238,109,1.1012100955205304
222,20,1.1655118353664875
232,88,1.0506668714806437
126,113,1.0619049505995852
60,45,1.019436455996973
202,38,1.0502586331484574
245,60,1.11957485973835
131,35,1.0448820306254285
236,59,1.0451262025827808
97,59,1.024428733757564
82,103,1.055158469825983
114,24,1.0898413913590568
158,24,1.0403928817249835
205,109,1.0600325087351459
180,116,1.0260916442743369
170,71,1.1083056554198265
209,42,1.0432777420750685
248,6,1.1414634639929448
149,64,1.027930146349328
1,58,1.0474391127271312
84,120,1.0168016797729902
238,0,1.0805272712896112
149,75,1.130983150431088
245,40,1.1405673138797283
236,104,1.0793136517916406
25,81,1.0498559224818433
248,5,1.1665581885193075
219,118,1.184974426669734
125,58,1.0812273670786194
135,18,1.0295278036168642
245,4,1.0639925891799586
26,89,1.082448038671698
140,83,1.0831630949313487
219,120,1.1114921495318413
215,80,1.0731807154204165
245,79,1.1050624807498284
56,59,1.02044620684215
232,9,1.0476566042218889
158,54,1.0410724303552084
167,104,1.0780120225889342
148,116,1.0358802266418934
133,54,1.0745092891156673
10,42,1.0557182534664338
22,0,1.0465786648648125
83,59,1.0451440601609647
153,7,0.9929812092866216
33,59,1.0098554683583123
59,64,1.0019959892545427
48,104,1.0533277436292596
166,77,0.9899400121399334
97,103,1.0885205713233777
185,83,1.0566707027277775
138,91,1.0058528727718763
48,107,1.1175081586199147
129,38,1.0917091837951116
246,58,1.103646883474929
188,83,1.0147962825638908
121,38,1.0432017876633577
202,88,1.0580784694424696
124,4,1.0679085470203842
97,83,1.0366046862410647
5,115,1.0269797662539142
119,82,0.9823390532817159
205,60,1.0629340703599155
231,22,1.0192598821927927
215,27,1.0486211478710175
26,24,1.0800532757171564
79,104,1.0973099089626754
69,46,1.0766613584543978
54,52,1.112770908645221
190,24,1.060716297743576
7,27,1.040664384133249
59,18,1.0290482427392686
