PortOfLading,PortOfUnlading,dist
10,8,1.1801899841853551
115,26,1.1830832512184446
26,2,1.223463241243735
71,40,1.1940670115873218
129,39,1.162154135959489
181,13,1.1561885960400105
149,53,1.2085054133619582
185,15,1.1979549061506987
54,53,1.187743500207684
59,54,1.1955698366676057
188,4,1.2265733927488327
54,8,1.2016401036110307
224,5,1.1616933795490436
232,2,1.2402916657073157
240,53,1.1877626074211938
33,13,1.2212562816483634
213,53,1.1604205263512475
223,8,1.1445577744660633
224,13,1.1577965157505656
222,40,1.1904951919402396
240,2,1.2087633279817445
230,38,1.1799366541339882
144,40,1.202221158359732
125,13,1.199095708983285
222,2,1.1974850841132658
238,53,1.2020778988621064
9,2,1.1794481091201305
118,4,1.1757125601039402
74,13,1.1920755159642016
114,8,1.1908121764925974
122,53,1.1558673371161734
26,26,1.212121835078246
192,2,1.155887066519686
138,40,1.2298395968973637
5,28,1.183676875645428
55,13,1.1778946667909622
114,23,1.1979990830378873
159,38,1.1465241810074076
236,38,1.1759981864265032
210,53,1.1601356923181032
185,13,1.1865253081279141
36,4,1.207491115799972
167,28,1.1804540854479586
54,40,1.1972501799464226
247,13,1.1893522196582385
238,26,1.2104876666728939
246,47,1.1615891993444944
236,54,1.1703006476163864
1,13,1.1897212522370475
210,12,1.169885148161224
90,4,1.1604229208481098
69,0,1.2084666211490653
80,45,1.1791463873482175
68,13,1.1311777915273393
187,28,1.123634574535702
57,13,1.1605496792388814
138,4,1.2287787246916975
154,53,1.1597792825528555
249,40,1.157694673273779
166,26,1.166050095377224
249,38,1.154783018814799
219,12,1.1988513682569777
127,4,1.212486264428922
91,13,1.185672493385417
73,26,1.1498354481799262
155,53,1.173587974693094
224,40,1.1795904207974672
181,4,1.164760287585003
10,13,1.1738097135509764
105,40,1.1716911739536695
60,26,1.1476814153471164
143,33,1.1312957789216722
191,32,1.1339274841759885
165,23,1.1943317508058888
9,5,1.1679004827248198
41,26,1.1954263801952558
79,4,1.19624956750444
236,45,1.1709500945040159
133,4,1.2164648958880986
77,8,1.1945662995941737
143,13,1.1468265784289022
33,53,1.2266812385725123
167,47,1.1685370194858737
230,47,1.1570353509326066
33,12,1.2500963107283627
81,53,1.1651430928281374
144,4,1.1966410678412234
153,38,1.1741648279130459
162,38,1.1662817570780004
140,2,1.1549299848931176
54,0,1.2227494715189096
215,53,1.1716773097536393
149,54,1.2164835802146368
216,8,1.174125584507627
126,0,1.2060511431523733
193,26,1.1584020488496338
22,45,1.1463103445712477
202,28,1.1613726829112108
133,38,1.2183900343786394
204,2,1.1465226238859552
126,40,1.1912604152624096
29,53,1.1609981269575655
159,54,1.1431001165349568
153,4,1.1711372711828776
29,4,1.170259524402874
54,5,1.1833445578813553
80,13,1.1748652611859143
149,12,1.2326642367323595
114,54,1.184995146734374
50,28,1.1231826301664114
182,30,1.094991616106459
185,5,1.1814110676891036
88,13,1.1802609421844994
129,4,1.166696146396654
126,4,1.1859580830870462
31,5,1.1661430355161428
100,23,1.165215260216168
241,34,1.2381820725277066
205,47,1.2004679728831564
222,45,1.1836888662406377
113,26,1.1962182094742144
5,47,1.1774282769433089
29,8,1.1722944228510772
33,23,1.252154376889978
220,53,1.155438956434539
52,49,1.134380467369088
239,49,1.1236295774579048
170,5,1.1944706322891372
114,45,1.1851024867168494
59,39,1.1925640875207526
170,0,1.2328516471066646
163,13,1.1688280822709203
80,40,1.1871764838828571
170,26,1.2078312521002121
133,23,1.2353958941488858
80,54,1.1809843202520693
242,5,1.1004666104646665
193,28,1.1485999234552895
95,13,1.1510889093790735
126,47,1.1666154619306326
40,13,1.1948404796421528
125,53,1.1989665338104325
126,2,1.1970762613096408
223,54,1.1553931632744414
207,49,1.1390918003661292
238,5,1.1962568527378608
23,28,1.1336562476520027
51,5,1.1562063741896833
48,23,1.2371828428336553
149,4,1.2166130106363977
224,54,1.1752353250049055
242,53,1.103335344631757
188,28,1.222030536936862
240,26,1.1976200682776315
44,13,1.1415617747365363
33,5,1.2213439946728093
54,55,1.2207734297428812
109,53,1.1614242538011499
196,26,1.1390633375516959
246,13,1.169226853975228
122,13,1.1569522459592139
155,4,1.1908011678606272
26,53,1.2067825228150468
158,53,1.1685188859701157
56,38,1.1818103609340531
33,33,1.292116959712335
41,47,1.1845518499612808
63,54,1.1663045563868113
174,53,1.188625166458743
144,53,1.1894847207835741
9,47,1.1635596214660577
29,54,1.1724235330309187
238,52,1.231274732521602
79,40,1.199850027582475
78,45,1.1674172797107272
231,5,1.132210717669555
240,54,1.1956063194998674
125,47,1.185902036992567
148,44,1.2027895780546325
89,13,1.1591589863279037
170,55,1.2351144677294152
31,39,1.1631125058712704
51,2,1.1630777791142464
105,19,1.16414116296385
10,2,1.1854386256475533
113,28,1.1888241065399987
174,47,1.1757228241435118
221,38,1.174716433244092
67,38,1.1517071692006928
33,40,1.2398887484201364
149,15,1.2270157882677657
113,53,1.1919466397458953
131,38,1.168834321733032
107,13,1.1675605662167072
190,1,1.1948330013879709
224,53,1.1626948985670293
13,54,1.1294084947024072
223,45,1.1500718529735292
88,2,1.1778568691973175
26,4,1.2130483519285917
55,4,1.1885533955480372
109,13,1.163222812116146
155,39,1.1627257643267512
207,30,1.1230521074363164
128,45,1.1445811885808195
217,13,1.1434798485466413
232,23,1.2456834678139006
154,5,1.1577210588646787
143,55,1.12543359292405
113,35,1.1958956886082888
114,4,1.186444844784481
54,12,1.2122415799115385
