HSCode,ShipmentOrigin,dist
95,31,1.3161249884537287
26,50,1.3424625162567412
47,43,1.3196552097797394
43,16,1.3387053268296378
5,83,1.3230992321457182
48,12,1.3422006560223443
92,43,1.319817949618612
93,36,1.3134802409580775
96,107,1.3185572347470693
96,110,1.3136215412190981
42,62,1.3122082214270319
92,110,1.3185094499162264
47,61,1.3204174052391733
45,99,1.3094887403505189
3,36,1.3483822558607375
93,12,1.3168349436351232
95,34,1.2939944831388337
60,12,1.3254276875938689
22,43,1.3485007392508643
95,82,1.326901241604771
90,88,1.3095162372503961
12,35,1.3274716841323035
95,73,1.3136153088084288
48,22,1.3440752923488617
96,74,1.3348753984485353
42,106,1.2936421217662948
14,28,1.307073107787541
71,18,1.3444807146276747
12,40,1.3281527193529266
94,101,1.3132273203560285
93,62,1.3118467309645243
22,12,1.3463559470006399
96,98,1.3102450051477976
66,99,1.327757511820112
29,62,1.3203325516411237
22,18,1.3376220209257943
90,27,1.3232446962169238
45,46,1.3141957212771689
35,17,1.3174826545374734
67,79,1.3344629662377494
53,19,1.326512672007084
47,45,1.3331803711397308
36,1,1.3237060808709689
96,46,1.3123948872089386
59,12,1.3554045685700007
90,82,1.32098939748747
90,45,1.3187439345887728
12,101,1.322678088077477
36,4,1.3176493059311594
12,70,1.309064188173839
27,30,1.324772648513317
27,18,1.3253616499049323
74,18,1.3556009126561028
37,12,1.3337348465408598
26,62,1.3389621153473854
90,73,1.3071893102356367
36,12,1.3230922733034407
87,36,1.3370200438158852
83,106,1.3090219816991262
95,8,1.3163696399756841
91,13,1.3286780140229635
7,17,1.333954626960414
90,26,1.3089618331619672
57,12,1.3105126438396317
17,110,1.3496336766651698
57,99,1.3033897003957204
96,79,1.3220238132136208
94,16,1.324369334748813
30,97,1.3107765465974808
57,110,1.3110497945121355
12,109,1.3258767266358649
45,61,1.3047264393951212
95,94,1.2966219601886613
75,99,1.3359257962022508
57,8,1.309112738285746
3,17,1.3438600599765778
41,56,1.329174103481429
90,12,1.3041353917547636
35,1,1.3279547510402543
91,78,1.2973852306604385
91,36,1.3208721748420171
94,106,1.293422892689705
42,94,1.303259796329907
65,43,1.3063334545918874
59,50,1.3544496787445885
5,104,1.3014749991042274
42,40,1.3179220716868127
94,88,1.3155598853315627
93,110,1.3140582772237914
83,18,1.3289768121072225
34,62,1.329186964247908
50,34,1.3023972394210952
12,76,1.329114567488432
96,43,1.311273350247315
87,52,1.3044545575976372
5,52,1.30637931397983
29,30,1.3246684766241483
92,50,1.31648984338556
45,43,1.3176751243216651
48,93,1.3330916443041392
22,40,1.3365559439573969
95,52,1.3063258879951067
98,93,1.3021322222692626
25,18,1.361959423337664
9,107,1.3511101305484772
64,99,1.2989861773593085
12,83,1.3259155239377702
94,58,1.31935138042484
53,46,1.3223872131534986
48,102,1.3281888482826096
53,92,1.3175407584224428
48,107,1.3377583537782942
85,43,1.3522596103804452
37,52,1.3085332661867142
50,107,1.3326279542275838
