PortOfUnlading,ShipperPanjivaID,dist
44,3321,1.1795538206185614
44,4335,1.0788713488727808
45,6248,1.1016820381794656
26,4576,0.9718246944248676
26,4307,1.1671450989586967
47,473,1.028407245874405
45,3303,0.9679029881954193
23,2362,1.179178828107459
54,4928,1.2595203007970537
13,5843,1.1155754809400864
38,6600,1.0749435686905469
4,6534,1.2149859645536967
5,4147,1.0845912194677763
8,6248,1.1330904083858644
49,6362,1.0507969459784883
26,5775,1.2032134969319617
38,1603,1.179749726184777
4,1009,1.1312604216592652
45,3190,1.1051531465990203
2,6447,1.098494643079383
44,6017,1.1218452618590422
54,3326,1.002787979585784
54,2163,1.1854092481413059
47,3172,1.1422707374606813
40,5046,1.0230607124311584
26,2194,1.3029119638460023
4,653,0.9986130494092192
38,3991,1.0771164198938226
40,3629,1.219499099467482
45,6568,1.1560276855016127
54,1372,0.8891229746597153
49,5265,1.1625685138361794
38,3153,1.0740100841170974
4,1660,1.0530599296492125
44,6847,1.1787992872829949
54,653,0.9854862998638835
4,3589,1.129305265311684
13,2147,1.0593268701008387
45,1933,0.963696150308741
13,6067,1.1309386513062887
4,6568,1.1549544595181942
44,5592,1.2366067568904586
5,891,1.0770657725100006
45,653,0.9820113512022155
4,799,0.9138957425685865
4,2604,1.1449673080434357
45,5613,1.1803455166518688
13,4855,1.1293269763035434
47,6873,1.0577234216367029
13,6352,1.1705042059932436
54,1825,1.1235769329858678
15,3362,1.140348787286452
45,2281,1.0803167271826948
45,6896,1.0961918635293841
5,4404,1.2258277562047755
38,4107,1.2018954349415643
5,5504,1.2238520594047648
4,6004,1.012249772703009
45,3272,0.9915176624698299
54,3825,1.2084682152739592
44,3362,1.1035421916416712
38,4263,0.9056383238307067
26,1067,1.137191152599241
5,6201,1.0987940654158592
38,2213,1.206764042377472
54,5561,1.2006572932004929
2,450,1.1608446332892137
53,1354,0.986837309386049
54,2539,1.0495341303093093
44,581,1.0805324825591274
26,6472,1.0523081538932664
38,1067,1.1014045460947923
45,311,1.1465843745640345
38,6551,1.1864095154617513
47,1254,1.164404862892947
38,1712,1.1304464998122836
28,2201,1.2180087683456284
13,356,1.0392375132068992
44,6310,1.0942744575440884
38,2622,1.0378063438194138
54,1698,1.1612392251512833
38,1009,1.1338992017720426
45,4501,1.1110981068174755
44,2924,1.1809335696910108
38,6335,1.13744933371033
13,1896,1.1402199938893318
54,1391,1.217431452125311
38,994,1.1149800788511388
0,5358,1.1194261248622621
47,6920,1.1806779519787856
26,2032,0.9478938951423126
13,1171,1.140453798962491
4,3362,1.104841420693057
49,3136,0.908537564699405
4,259,1.1468284177993024
45,604,1.065040095310126
54,891,1.0562367311545782
52,2201,1.2937938570976257
13,6690,1.1653824427298136
47,1060,1.0977218874863215
38,4447,1.0205370342092854
54,3343,1.0793133644121033
47,6915,1.2150928846427373
2,2749,0.9710729887176838
53,5558,1.0460167207888194
25,4067,0.9729228312415736
49,1716,1.2978446866784776
47,2638,1.1239964700570064
54,1446,1.0728283683503312
54,5239,1.1393489007438933
38,356,1.028675066939156
47,2835,1.1070301330515318
45,5830,1.1048849698688303
40,5464,1.1500438249536924
4,6067,1.1163643476154124
44,350,1.0544186950262104
2,3917,1.1358944015311343
4,644,1.0738669761589594
4,706,1.156448494642973
13,450,1.1364199806536948
38,3707,1.0600212131227766
47,1307,1.1738918226744448
54,3506,0.9634244782584054
44,6694,0.9983768612146378
38,5723,0.9375209325226024
0,6925,1.1466293611696787
13,851,1.2489284260996751
4,1354,0.9789199408675943
44,3276,1.1299868869994367
53,1060,1.1109813983951295
38,3362,1.1005380627300059
13,2846,1.0963761221085275
8,2004,1.1388885495918137
54,4570,1.05565036061619
54,736,1.0747239195874758
54,1796,1.1399735254900796
13,6327,1.1297047037099088
13,5582,1.092450238697763
54,1422,1.0462632727410113
40,5632,1.1251856229500845
53,4439,1.139630404966218
55,6823,1.2588612203087126
4,4436,1.1281894674258572
13,2422,1.0381742066570692
38,4304,1.133486786325063
20,4211,1.029355718621186
47,70,1.0578150270240647
13,263,1.1537209080000008
2,4431,0.8750754147768021
2,6909,1.1374621924811177
54,3864,1.1020870391013367
13,622,1.1987312770049487
28,3838,1.2062462983386857
53,4597,1.038909304354872
38,5638,1.1101393170122589
54,1700,1.0468866141246898
5,3838,1.161568357077028
28,2754,1.103704789458009
4,579,1.048487094363996
13,4766,1.1403423904308252
4,5241,1.1740698968725545
40,4023,1.0593801877860511
13,3283,1.2179523599999291
13,5702,1.1386814713478088
45,664,1.150298041424581
2,5427,1.182207943605525
13,5104,1.082491363797869
53,2734,1.1892417157068849
54,745,1.1318796194557632
38,3629,1.207553245127201
28,1727,1.2306751885584422
40,1904,1.1145628951489925
13,6053,1.1428032655801093
47,6694,1.0018379496676582
40,83,1.090588058744158
44,3626,1.1015359546457018
44,5254,1.1007806397974491
