HSCode,PortOfLading,dist
90,188,1.1949297892195838
5,238,1.2438067400029726
48,248,1.2138193060111786
96,235,1.1869785309370076
35,69,1.2506456350508546
35,79,1.2029911139979959
90,91,1.2098109253815241
12,144,1.193389329493844
91,219,1.178855367304225
94,247,1.1920273719089372
45,54,1.2230047115257807
12,54,1.1924164658412337
63,219,1.2271601626915591
42,205,1.2017208055726118
94,29,1.1761952713131905
47,167,1.224933688512205
91,126,1.1894209278481347
12,205,1.193159238568374
94,125,1.1793080855693137
64,219,1.2040931236531054
95,2,1.1774256713688374
57,22,1.2331150509417057
42,149,1.21539001286562
36,133,1.2283635345354145
93,220,1.2049210252506393
12,240,1.1749224518425763
26,97,1.2163334265351295
43,241,1.2420353469039713
5,111,1.2268809867756707
95,180,1.2032947125179427
48,218,1.189210669170799
95,232,1.180850826203823
53,59,1.2110429874488287
95,128,1.1796260667698724
93,48,1.222578804673893
96,94,1.1841620542109013
95,212,1.2035817488296223
96,245,1.1870708750294787
42,115,1.2070684730674006
92,245,1.1906099250274045
45,127,1.2004112026521139
3,48,1.2915102339216642
95,29,1.1719802462362818
93,216,1.1876815906060594
98,219,1.1947128285786934
67,215,1.2011403708851762
92,115,1.198255027245198
60,167,1.2375862614384718
22,246,1.2099597438105516
95,150,1.1902147138358228
95,165,1.1950180773357195
48,77,1.2199074303997415
96,250,1.200553826455559
42,248,1.2091824254021049
67,26,1.1627965968634402
14,36,1.2374377697706223
71,248,1.2633643549467837
12,36,1.1942773509238447
93,127,1.1778932879013675
22,188,1.2122739747698819
96,205,1.1975031021450246
94,167,1.211708964364204
93,97,1.1995823048055172
65,246,1.201380624302796
66,248,1.2602077476414186
90,174,1.2149200565846903
29,222,1.2038471050826567
60,238,1.213679680002055
94,135,1.1843323819339275
95,178,1.1813989345516478
93,111,1.1870313175022602
22,238,1.2084194176963396
93,174,1.2263726267431463
53,10,1.1804879057620252
12,169,1.2111081219544368
35,62,1.2481547804283244
95,9,1.2116341418254055
67,138,1.155906351615808
53,42,1.1773461222016652
47,158,1.2146603888499417
94,162,1.1804075073949727
95,93,1.1529598949210984
36,216,1.1947870110826833
96,165,1.1964851849313294
96,247,1.193356172314712
59,216,1.1828178465366364
90,240,1.176759181943323
90,154,1.2118405955178397
90,158,1.2131444370024838
90,78,1.1417401014893716
95,183,1.2199010460504465
12,135,1.181366997637919
36,48,1.2532330096832343
91,115,1.1886086445301771
27,213,1.2161332869103976
90,26,1.1701474242976733
60,246,1.2153609349791492
29,219,1.209999147536499
27,93,1.1775594011414796
48,170,1.1904845552718533
72,79,1.1985859528649598
74,170,1.2512329407036304
53,124,1.1712829385484969
84,248,1.2632156522678477
96,248,1.193176279110568
92,220,1.1942000987806491
94,79,1.1617633925218667
67,77,1.1993189839912313
91,248,1.18981182841318
90,162,1.183821999068771
93,115,1.2041323626680034
94,129,1.1790948124336345
95,220,1.189465626275965
63,246,1.2170444701665215
65,54,1.2100541114008851
47,246,1.1910832457776581
40,219,1.2583818893347467
67,238,1.1719861262078797
96,246,1.1800454139177288
37,216,1.1973623649350233
43,10,1.1967833662139518
95,59,1.2050080911389418
26,115,1.227852251380682
29,238,1.205083444448454
94,170,1.1732537520251103
90,205,1.2036409508436918
27,36,1.2098423333040305
87,48,1.2764671354421548
27,10,1.1907711236604623
83,219,1.2212892398238182
95,100,1.1874397279960769
95,71,1.188892625554997
91,181,1.1664368696510792
7,149,1.281253689101764
27,9,1.2071695096923836
57,59,1.2385512728776251
17,115,1.2352296225726604
67,10,1.1784055247553624
14,59,1.261456304362842
30,224,1.1644771450332232
57,245,1.2197603024542332
94,240,1.1730881417835397
96,115,1.1917985722954785
75,115,1.2662475896733147
57,33,1.2383443989924021
3,213,1.2412103712558746
41,205,1.2243799311774117
12,79,1.1674307344614394
95,235,1.1798796760184425
92,127,1.171626475672903
95,223,1.1755526819033548
42,127,1.1796047193929553
35,111,1.2157686852983065
90,48,1.2156882051910674
35,216,1.2051654388861996
91,238,1.1769431929237075
91,127,1.1613015390466899
91,111,1.1766039468348026
94,224,1.1444569964494025
95,205,1.1891168534223522
42,240,1.1825337206412638
95,230,1.1734469631420714
65,170,1.1953397447775518
59,144,1.227713223014559
67,9,1.200068008553769
5,118,1.1443154114614507
42,77,1.2174354065209627
