ConsigneePanjivaID,ShipperPanjivaID,dist
2950,4335,1.000231018822108
3963,6248,0.7834958497967038
2974,4576,0.5490636761699405
5854,4307,0.43756504143987385
5698,473,0.6761081793478557
4090,3303,0.9890063405036926
3900,2362,0.6888225206307003
4536,4928,0.5682888552546501
363,5843,0.6489304218973432
1734,968,0.6686434022017888
1501,6600,0.8981593743498836
418,6534,0.4361005127429962
3627,4147,0.30515061957495554
3206,6248,0.8782396545367581
5276,6362,0.7095786716256823
5193,5775,0.6689344942569733
1354,1603,0.6637092945831162
5613,1009,0.34966949054173063
2726,3190,0.9172404519215759
3798,6447,0.6728325741631644
5341,6017,0.4781952542918069
330,3326,0.6861487509948867
4279,2163,0.5379925072193146
3756,3172,0.5107703602739743
3276,5046,0.3889313851084028
5063,2194,0.6070232364748206
1893,3991,0.5763217210769653
5640,3629,0.3753459027835301
1560,6568,0.6245928177876132
1105,1372,0.6442674568721226
3294,5265,0.6073853948286602
836,1603,0.7986458050353187
812,3153,0.6120441023792539
365,1660,0.5573154826249395
676,6847,0.6320349446364811
2903,3589,0.7263462032590594
409,2147,0.7055788465908596
2889,1933,0.41423421672412325
1339,6067,0.39681547454425264
2195,5592,0.47822711723191397
3545,891,0.5808653224791799
1560,799,0.6446132367210728
4415,2604,1.0280358280454363
2059,5613,0.5869121466364179
1890,4855,0.5175115082945142
5672,701,0.659918949007988
3143,6873,0.655293063393661
1287,6352,0.9713961439473289
1861,1825,0.34464708396366667
5937,3362,0.4833276229245322
4460,2281,0.5510887418474469
5084,6896,0.7710006540375096
1786,4404,0.2295298831803458
5937,4107,0.4194883576461247
5776,5504,1.007109341211617
1529,6004,0.7230651333395924
1817,3272,0.4470979188169752
3288,3825,0.7248217069676944
5937,4263,0.7689077486949307
5193,1067,0.46955753224236624
1835,6201,0.590697488614491
4604,2213,0.726025332829782
5838,5561,0.4057075934750693
5470,450,0.21076304571969168
3361,1354,0.2540797633784158
1796,2539,0.4585980176925659
5772,581,0.9087655714579991
4845,6472,0.7949245955262866
330,1067,0.41130928482328144
5251,311,0.36893345628465923
3018,6551,0.33714212690080914
1218,1254,1.0309081434139185
5937,1712,0.8797386768939239
1270,2201,0.12140383039202009
5442,356,0.8698527882141727
5440,6310,0.6835704147815704
1302,2622,0.5398389952523368
2035,1698,0.3735377618244716
1,1009,0.45543381571769714
4022,4501,0.641668177875025
1873,2924,0.4132990539073944
1970,6335,0.49157255994422094
935,1896,0.7433030019913401
4435,1391,0.8483354928238052
2546,994,0.4262423557894571
2032,6926,0.24583083391189575
1627,5358,0.49393110828740255
1760,6920,0.6844807267189026
5854,2032,0.687813354123916
408,1171,0.5796926064150674
2349,3136,0.5364923306873867
1170,259,0.6162506054554667
4024,604,0.7365982000316892
5599,891,0.23078712395259313
3390,6690,0.4760099798440933
285,1060,0.5990665746586663
5442,4447,0.6039571676935468
2619,3343,0.5155882026468005
